time,ax,ay,az,aT
0.002,-0.5871,0.1043,0.4376,0.74
0.002,-0.5681,-0.0003,0.4073,0.699
0.002,-0.5252,-0.0204,0.4367,0.683
0.003,-0.4967,-0.0448,0.4636,0.681
0.005,-0.4629,-0.0406,0.4042,0.616
0.009,-0.4253,-0.0461,0.3282,0.539
0.014,-0.3954,-0.035,0.3551,0.533
0.02,-0.3759,-0.0245,0.4631,0.597
0.025,-0.475,0.0234,0.5422,0.721
0.03,-0.5665,0.1033,0.5446,0.793
0.04,-0.5311,0.1503,0.5181,0.757
0.04,-0.434,0.1977,0.5966,0.764
0.044,-0.3621,0.2643,0.6915,0.824
0.048,-0.2976,0.3425,0.7214,0.852
0.058,-0.1452,0.3752,0.61,0.731
0.059,0.0925,0.3984,0.4246,0.59
0.064,0.3144,0.4365,0.1438,0.557
0.068,0.3698,0.4805,0.0023,0.606
0.073,0.3885,0.5566,-0.1126,0.688
0.078,0.4112,0.55,-0.0811,0.692
0.083,0.3194,0.5331,0.1059,0.63
0.088,0.2194,0.4777,0.4268,0.677
0.092,0.1138,0.4104,0.5922,0.729
0.097,0.0345,0.2979,0.4207,0.517
0.105,0.2071,0.1794,-0.042,0.277
0.107,0.1936,0.035,-0.1548,0.25
0.112,-0.1035,-0.0364,-0.0187,0.111
0.117,0.0688,-0.064,0.0865,0.128
0.121,0.2342,0.0195,0.1775,0.295
0.126,0.0621,0.1251,0.2759,0.309
0.131,0.0635,0.1661,0.2503,0.307
0.137,0.4311,0.1085,0.0719,0.45
0.141,0.9306,0.038,0.0588,0.933
0.147,1.3302,-0.1178,0.385,1.39
0.151,1.9808,-0.4079,0.8993,2.213
0.156,2.1789,-0.6657,1.2932,2.62
0.16,1.8246,-0.4543,1.1103,2.184
0.165,1.76,0.0188,0.8655,1.961
0.17,2.1714,0.4293,0.6042,2.294
0.174,2.725,0.7401,0.3409,2.844
0.179,2.9131,1.06,0.2335,3.109
0.186,2.5683,1.4184,0.258,2.945
0.189,1.8486,1.7226,0.5121,2.578
0.194,1.3293,1.7238,0.7592,2.305
0.199,1.0907,1.42,0.7007,1.923
0.205,1.3515,0.857,0.5497,1.692
0.209,1.4874,0.6015,0.3662,1.646
0.213,1.2984,0.87,0.6927,1.71
0.221,1.0449,1.5836,1.4588,2.393
0.223,0.5969,1.4559,1.5241,2.191
0.228,0.7921,0.8944,0.4883,1.291
0.234,0.3156,0.2669,-0.2872,0.503
0.238,-1.0357,-0.1447,0.0962,1.05
0.244,-1.5594,-0.3674,0.702,1.749
0.248,-1.2064,-0.2615,0.7624,1.451
0.253,-0.7495,-0.025,0.882,1.158
0.258,-0.6633,0.2384,0.8068,1.071
0.262,-0.7653,0.466,0.5252,1.039
0.268,-0.9819,0.6278,0.3909,1.229
0.272,-1.3619,0.6958,0.5952,1.641
0.276,-1.5755,0.6658,0.813,1.894
0.281,-1.5032,0.5163,0.9368,1.845
0.286,-1.1609,0.2831,1.0531,1.593
0.291,-0.7658,-0.013,1.0639,1.311
0.295,-0.4071,-0.3133,0.9599,1.089
0.305,-0.1874,-0.4871,0.698,0.871
0.306,-0.1587,-0.456,0.5746,0.751
0.31,-0.3034,-0.3353,0.7281,0.857
0.315,-0.3588,-0.1928,1.0792,1.154
0.32,-0.1654,-0.1681,1.2382,1.26
0.325,0.2858,-0.252,1.033,1.101
0.33,0.7771,-0.3936,0.7415,1.144
0.336,1.0775,-0.4896,0.4975,1.284
0.339,0.9776,-0.408,0.2987,1.101
0.344,0.6513,-0.1842,0.0923,0.683
0.353,0.3627,0.0734,-0.0858,0.38
0.353,-0.0366,0.2467,-0.0443,0.253
0.359,-0.5367,0.2513,0.241,0.64
0.363,-0.7431,0.1552,0.2825,0.81
0.368,-0.6248,0.0237,-0.0218,0.626
0.373,-0.4932,-0.027,-0.3537,0.607
0.378,-0.4337,0.0127,-0.5458,0.697
0.383,-0.4955,0.1209,-0.4814,0.701
0.388,-0.651,0.2037,-0.2136,0.715
0.392,-0.5914,0.2241,-0.0105,0.632
0.398,-0.185,0.1147,-0.0632,0.227
0.405,0.1789,0.0262,-0.2257,0.289
0.407,0.278,-0.0097,-0.2732,0.39
0.412,0.1865,0.0378,-0.3278,0.379
0.417,-0.0753,0.1378,-0.2508,0.296
0.422,-0.1582,0.2207,-0.0377,0.274
0.427,-0.1319,0.1929,0.1106,0.259
0.431,-0.0782,0.0542,0.2898,0.305
0.437,0.2917,-0.1748,0.3923,0.519
0.441,0.4209,-0.3127,0.1648,0.55
0.446,-0.0196,-0.2974,-0.0124,0.298
0.451,-0.3326,-0.1171,0.0661,0.359
0.456,-0.3998,0.0029,0.0799,0.408
0.46,-0.4805,0.0273,0.1246,0.497
0.468,-0.4963,-0.0009,0.1527,0.519
0.48,-0.5189,0.0355,0.2309,0.569
0.483,-0.307,0.0143,0.3807,0.489
0.485,-0.0211,-0.0071,0.301,0.302
0.489,0.0763,-0.0025,0.1878,0.203
0.49,-0.0611,0.0332,0.2372,0.247
0.495,-0.2321,0.0897,0.4441,0.509
0.499,-0.3946,0.0784,0.6267,0.745
0.511,-0.4084,0.0108,0.6608,0.777
0.512,-0.2863,-0.0486,0.4319,0.521
0.515,-0.273,-0.0393,0.1461,0.312
0.541,-0.3942,0.0514,0.0711,0.404
0.542,-0.559,0.1759,0.2162,0.625
0.542,-0.6,0.1998,0.4329,0.766
0.543,-0.472,0.1296,0.4677,0.677
0.543,-0.3419,0.0179,0.3949,0.523
0.543,-0.2856,-0.0589,0.3126,0.427
0.548,-0.3196,-0.0602,0.2756,0.426
0.554,-0.3573,-0.0004,0.272,0.449
0.558,-0.3197,0.0965,0.2826,0.438
0.563,-0.2714,0.1686,0.329,0.459
0.569,-0.1489,0.1919,0.3943,0.463
0.573,-0.0504,0.2022,0.3927,0.445
0.577,-0.0381,0.2236,0.3479,0.415
0.582,-0.1379,0.2583,0.3223,0.435
0.588,-0.2403,0.2776,0.3063,0.478
0.592,-0.2164,0.2767,0.3523,0.498
0.597,-0.1557,0.2221,0.3816,0.468
