time,ax,ay,az,aT
0.0040,-0.2789,0.0655,-1.9254,1.947
0.0040,-0.2772,0.1423,-1.6985,1.727
0.0040,-0.2832,0.1805,-1.3472,1.388
0.0050,-0.3038,0.2149,-0.8974,0.971
0.0050,-0.3105,0.2513,-0.3988,0.564
0.0090,-0.3156,0.3098,0.0512,0.445
0.0160,-0.3146,0.3317,0.4340,0.630
0.0190,-0.3070,0.3593,0.6975,0.843
0.0250,-0.2966,0.3748,0.8709,0.993
0.0320,-0.2813,0.3492,0.8947,1.001
0.0340,-0.2996,0.3209,0.8407,0.948
0.0380,-0.2792,0.2254,0.6469,0.740
0.0430,-0.2743,0.1568,0.3800,0.494
0.0480,-0.2574,0.0704,0.1067,0.287
0.0530,-0.2457,0.0197,-0.0945,0.264
0.0570,-0.2260,-0.0304,-0.2621,0.347
0.0640,-0.2139,-0.0699,-0.3438,0.411
0.0670,-0.2206,-0.0865,-0.3472,0.420
0.0720,-0.2175,-0.0873,-0.2866,0.370
0.0770,-0.2218,-0.0770,-0.1909,0.303
0.0820,-0.2318,-0.0701,-0.0505,0.247
0.0870,-0.2193,-0.0383,0.0774,0.236
0.0910,-0.2306,-0.0322,0.2048,0.310
0.0970,-0.2063,-0.0282,0.2913,0.358
0.1010,-0.1995,-0.0122,0.3467,0.400
0.1060,-0.1867,-0.0227,0.3662,0.412
0.1120,-0.1799,-0.0312,0.4073,0.446
0.1160,-0.1502,-0.0402,0.3912,0.421
0.1210,-0.1452,-0.0400,0.3441,0.376
0.1250,-0.1121,-0.0592,0.2782,0.306
0.1310,-0.1007,-0.0906,0.2125,0.252
0.1350,-0.0844,-0.1077,0.1684,0.217
0.1400,-0.1059,-0.0961,0.1650,0.218
0.1450,-0.0814,-0.0748,0.1615,0.196
0.1500,-0.0682,-0.0606,0.1675,0.191
0.1550,-0.0592,-0.0439,0.1688,0.184
0.1590,-0.0858,-0.0248,0.2512,0.267
0.1640,-0.1007,0.0086,0.2930,0.310
0.1690,-0.1186,0.0491,0.3586,0.381
0.1740,-0.1351,0.0677,0.3788,0.408
0.1790,-0.1477,0.1006,0.3751,0.415
0.1840,-0.1759,0.0973,0.3404,0.395
0.1880,-0.1624,0.0702,0.2986,0.347
0.1930,-0.1618,0.0361,0.2281,0.282
0.1990,-0.1475,0.0236,0.1193,0.191
0.2040,-0.1596,-0.0101,0.0655,0.173
0.2080,-0.1498,-0.0410,-0.0074,0.155
0.2140,-0.1390,-0.0978,-0.0374,0.174
0.2180,-0.1173,-0.1423,-0.0459,0.190
0.2230,-0.1086,-0.1940,-0.0018,0.222
0.2280,-0.0940,-0.2222,0.0258,0.243
0.2340,-0.0934,-0.2174,0.0750,0.248
0.2370,-0.0976,-0.1847,0.1437,0.254
0.2420,-0.1094,-0.1387,0.1673,0.243
0.2470,-0.1195,-0.0721,0.1887,0.235
0.2510,-0.1304,-0.0278,0.1842,0.227
0.2560,-0.1207,0.0159,0.1823,0.219
0.2620,-0.1357,0.0475,0.1326,0.196
0.2660,-0.1368,0.0885,0.0878,0.185
0.2710,-0.1550,0.1253,-0.0026,0.199
0.2760,-0.1398,0.1461,-0.0646,0.212
0.2800,-0.1472,0.1478,-0.1331,0.247
0.2850,-0.1348,0.1223,-0.1661,0.246
0.2900,-0.1690,0.1055,-0.1447,0.246
0.2990,-0.1567,0.0924,-0.1003,0.208
0.3000,-0.1458,0.0470,-0.0305,0.156
0.3050,-0.1367,-0.0092,0.0266,0.140
0.3090,-0.1371,-0.0671,0.1235,0.196
0.3150,-0.1641,-0.0867,0.2599,0.319
0.3190,-0.1776,-0.0591,0.3408,0.389
0.3240,-0.1945,-0.0370,0.3572,0.408
0.3300,-0.2055,-0.0300,0.3239,0.385
0.3340,-0.2578,-0.0119,0.2840,0.384
0.3390,-0.2679,0.0006,0.2210,0.347
0.3440,-0.2620,-0.0158,0.1682,0.312
0.3490,-0.2518,0.0033,0.0708,0.262
0.3550,-0.2370,-0.0180,0.0145,0.238
0.3590,-0.2123,-0.0410,-0.0960,0.237
0.3650,-0.1894,-0.0586,-0.1560,0.252
0.3680,-0.1870,-0.0684,-0.1849,0.272
0.3730,-0.1908,-0.0869,-0.2138,0.299
0.3780,-0.1889,-0.0883,-0.2308,0.311
0.3830,-0.1766,-0.1035,-0.1908,0.280
0.3870,-0.1799,-0.1327,-0.1725,0.282
0.3920,-0.1772,-0.1240,-0.0996,0.238
0.3970,-0.1689,-0.0995,-0.0247,0.198
0.4020,-0.1650,-0.0617,0.0807,0.194
0.4070,-0.1665,0.0199,0.1644,0.235
0.4170,-0.1599,0.0881,0.1717,0.251
0.4170,-0.1364,0.1123,0.1342,0.222
0.4210,-0.1033,0.1480,0.0543,0.189
0.4260,-0.0956,0.1575,-0.0440,0.189
0.4310,-0.0838,0.1129,-0.1774,0.226
0.4350,-0.0765,0.0789,-0.2529,0.276
0.4400,-0.1016,0.0297,-0.3307,0.347
0.4470,-0.0894,-0.0085,-0.3418,0.353
0.4500,-0.1017,-0.0501,-0.3152,0.335
0.4550,-0.1171,-0.0789,-0.2725,0.307
0.4590,-0.1261,-0.1141,-0.1899,0.255
0.4650,-0.1459,-0.1230,-0.0677,0.203
0.4700,-0.1650,-0.1301,0.0040,0.210
0.4760,-0.1556,-0.1569,0.0778,0.234
0.4800,-0.1684,-0.1585,0.1229,0.262
0.4840,-0.1701,-0.1471,0.1302,0.260
0.4890,-0.1464,-0.1538,0.0976,0.234
0.4940,-0.1330,-0.1187,0.0444,0.184
0.4990,-0.1369,-0.1253,0.0062,0.186
0.5040,-0.1268,-0.0778,-0.0005,0.149
0.5090,-0.1336,-0.0431,-0.0165,0.141
0.5210,-0.1335,-0.0015,-0.0467,0.141
0.5220,-0.0933,0.0067,-0.0743,0.119
0.5270,-0.0532,-0.0416,-0.0876,0.111
0.5370,-0.0486,-0.1056,-0.1223,0.169
0.5370,-0.0456,-0.1424,-0.1309,0.199
0.5370,-0.0443,-0.1783,-0.0969,0.208
0.5420,-0.0375,-0.1968,-0.0468,0.206
0.5470,-0.0159,-0.2029,-0.0068,0.204
0.5520,-0.0202,-0.1874,0.0447,0.194
0.5570,-0.0410,-0.1885,0.0934,0.214
0.5630,-0.0402,-0.1446,0.1156,0.189
0.5660,-0.0446,-0.1152,0.1233,0.175
0.5720,-0.0115,-0.0789,0.0930,0.123
0.5770,-0.0099,-0.0736,0.0391,0.084
0.5810,0.0482,-0.0607,-0.0477,0.091
