time,ax,ay,az,aT
0.002,0.7988,0.2912,-0.8886,1.23
0.003,0.9429,0.3954,-1.1109,1.51
0.003,1.1108,0.4417,-1.3427,1.798
0.008,0.982,0.5214,-1.3332,1.736
0.014,0.812,0.2714,-1.6732,1.88
0.018,0.7635,0.075,-1.5809,1.757
0.023,1.2662,-0.4286,-1.8146,2.254
0.027,1.8109,-0.563,-1.4965,2.416
0.033,2.0219,-0.4484,-1.1841,2.386
0.04,1.2796,-0.105,-0.66,1.444
0.042,0.5373,0.1714,-0.1129,0.575
0.047,-0.1219,0.348,0.1662,0.404
0.052,-0.5755,0.4502,0.1014,0.738
0.057,-0.9732,0.5523,0.0831,1.122
0.061,-1.3139,0.6326,0.1228,1.463
0.067,-1.5893,0.6555,0.0506,1.72
0.074,-1.818,0.6475,-0.0832,1.932
0.076,-1.8828,0.6858,-0.1713,2.011
0.081,-1.8871,0.8232,-0.1516,2.064
0.086,-1.9103,1.0623,-0.0437,2.186
0.091,-1.8949,1.2907,0.0902,2.294
0.095,-1.8026,1.427,0.2285,2.31
0.1,-1.6814,1.4686,0.3452,2.259
0.105,-1.4761,1.4322,0.4164,2.098
0.11,-1.1814,1.3347,0.483,1.847
0.114,-0.802,1.2098,0.5522,1.553
0.119,-0.3572,1.0816,0.5401,1.261
0.124,0.0935,0.9439,0.5303,1.087
0.129,0.4695,0.8139,0.5157,1.072
0.133,0.7094,0.7208,0.5009,1.129
0.139,0.7516,0.6646,0.486,1.115
0.144,0.6705,0.6722,0.4875,1.067
0.148,0.478,0.6773,0.5386,0.989
0.153,0.1657,0.6637,0.6602,0.951
0.158,-0.1936,0.6126,0.7394,0.98
0.162,-0.6766,0.5885,0.8408,1.229
0.168,-1.1211,0.5837,0.9979,1.61
0.176,-1.3791,0.6019,1.1513,1.895
0.177,-1.4967,0.5872,1.3274,2.085
0.182,-1.4356,0.5361,1.4288,2.095
0.188,-1.2074,0.4978,1.4608,1.959
0.192,-0.8999,0.5386,1.3834,1.736
0.197,-0.6335,0.648,1.202,1.505
0.201,-0.4449,0.7967,0.9842,1.342
0.207,-0.3611,0.9437,0.7831,1.278
0.211,-0.3286,1.0887,0.5942,1.283
0.216,-0.2797,1.1338,0.4128,1.239
0.222,-0.135,1.0436,0.1815,1.068
0.226,0.1201,0.8835,-0.1739,0.908
0.231,0.4399,0.6742,-0.637,1.027
0.235,0.7784,0.4821,-1.0125,1.365
0.241,1.1446,0.2346,-1.4255,1.843
0.246,1.5265,0.0343,-1.75,2.322
0.25,1.9254,-0.1343,-2.0204,2.794
0.255,2.1343,-0.2674,-2.0607,2.979
0.26,2.0736,-0.429,-2.0508,2.948
0.265,2.1042,-0.6021,-2.0891,3.026
0.269,2.0612,-0.6245,-2.008,2.945
0.274,2.0057,-0.6878,-1.858,2.819
0.279,1.9257,-0.8806,-1.7494,2.747
0.284,1.8105,-1.2261,-1.7568,2.805
0.295,1.6387,-1.4758,-1.7675,2.826
0.295,1.3942,-1.5919,-1.7047,2.717
0.299,1.008,-1.5641,-1.5798,2.441
0.304,0.6479,-1.4552,-1.4474,2.152
0.309,0.4342,-1.3294,-1.3568,1.948
0.313,0.1004,-1.2882,-1.1972,1.762
0.319,-0.0937,-1.3431,-0.9917,1.672
0.323,-0.1211,-1.4466,-0.8594,1.687
0.328,-0.0649,-1.4424,-0.6992,1.604
0.333,-0.0031,-1.3244,-0.3603,1.373
0.34,0.0884,-1.0866,0.0213,1.09
0.342,0.1355,-0.7486,0.3882,0.854
0.347,0.2219,-0.4474,0.5851,0.769
0.352,0.3646,-0.0805,0.7008,0.794
0.357,0.539,0.4191,0.74,1.007
0.362,0.4674,0.9013,0.6738,1.219
0.366,0.4135,1.2448,0.5786,1.434
0.376,0.3121,1.4654,0.5115,1.583
0.377,0.1706,1.6551,0.4476,1.723
0.381,0.111,1.739,0.3549,1.778
0.386,0.046,1.7502,0.1823,1.76
0.392,0.0034,1.7355,0.0346,1.736
0.395,-0.0322,1.7321,-0.0482,1.733
0.4,-0.0235,1.6807,-0.1623,1.689
0.405,-0.0731,1.6515,-0.2001,1.665
0.41,-0.1349,1.6035,-0.1687,1.618
0.415,-0.0318,1.417,-0.2447,1.438
0.42,0.0454,1.2734,-0.1266,1.28
0.425,0.1303,1.0736,-0.0438,1.082
0.429,0.0437,0.9179,0.2502,0.952
0.434,-0.219,0.8263,0.6622,1.081
0.439,-0.1485,0.5127,0.7863,0.95
0.444,0.0793,0.2319,0.7931,0.83
0.449,0.2929,0.0815,0.848,0.901
0.456,0.5435,-0.0451,0.8126,0.979
0.459,0.7482,-0.1005,0.8308,1.123
0.463,1.1056,-0.205,0.7593,1.357
0.468,1.4283,-0.2935,0.7842,1.656
0.474,1.9072,-0.555,0.5875,2.071
0.478,2.2416,-0.757,0.5542,2.43
0.483,2.5112,-0.9642,0.5218,2.74
0.494,2.5689,-1.042,0.5548,2.827
0.495,2.5166,-0.9959,0.6153,2.776
0.499,2.3361,-0.7925,0.7535,2.579
0.502,2.1305,-0.5276,0.8808,2.365
0.513,1.9066,-0.3088,1.0258,2.187
0.513,1.735,-0.1736,1.071,2.046
0.517,1.5521,-0.0335,1.1,1.903
0.525,1.402,0.0909,1.0262,1.74
0.527,1.3105,0.1308,0.9404,1.618
0.532,1.2769,0.0827,0.7372,1.477
0.536,1.2448,0.0215,0.5412,1.358
0.542,1.1777,-0.0046,0.4793,1.272
0.546,1.084,-0.0718,0.5036,1.197
0.551,0.952,-0.2365,0.626,1.164
0.557,0.6002,-0.195,1.1427,1.305
0.562,0.0655,-0.0408,1.9597,1.961
0.566,-0.612,0.1898,3.0666,3.133
0.571,-2.7317,1.7852,6.0828,6.903
0.577,-7.1011,5.0211,11.9549,14.784
0.582,-9.7816,5.7644,14.8566,18.698
0.586,-8.5803,2.7967,12.3497,15.296
0.609,-6.7194,0.7847,10.4255,12.428
0.611,-4.9425,0.2685,9.3606,10.589
0.612,-3.001,0.3042,8.4185,8.943
0.613,-1.4454,0.8007,8.2139,8.378
0.615,-0.3721,1.2159,8.3976,8.493
0.616,0.3184,1.2623,8.4194,8.519
0.619,0.5237,1.0483,8.2943,8.377
0.632,0.4654,0.6194,7.8073,7.846
0.632,0.2435,0.1472,7.0446,7.05
0.633,-0.0678,-0.2761,6.0806,6.087
0.64,-0.5326,-0.5276,5.1994,5.253
0.645,-0.9977,-0.6554,4.3911,4.55
0.648,-1.4198,-0.7368,3.6624,3.997
0.654,-1.6988,-0.9087,3.0632,3.619
0.658,-1.9139,-1.1655,2.526,3.377
0.664,-2.1051,-1.4153,2.1055,3.297
0.668,-2.1723,-1.6603,1.7728,3.259
0.68,-2.0602,-1.9768,1.4797,3.216
0.681,-1.8009,-2.3068,1.1693,3.152
0.684,-1.3837,-2.6311,0.8343,3.088
0.687,-0.8771,-2.979,0.4628,3.14
0.699,-0.286,-3.2572,0.0116,3.27
0.7,0.322,-3.4362,-0.5235,3.491
0.703,0.7751,-3.6173,-1.1287,3.868
0.707,1.0829,-3.8678,-1.7448,4.379
0.712,1.2069,-4.1324,-2.2414,4.854
0.717,1.2222,-4.4461,-2.6382,5.312
0.722,1.1857,-4.7519,-2.893,5.688
0.725,1.1787,-5.1191,-3.0684,6.084
0.73,1.174,-5.4293,-3.1645,6.393
0.736,1.1638,-5.5807,-3.1884,6.532
0.742,1.1757,-5.5824,-3.1638,6.523
0.746,1.1225,-5.4404,-3.1146,6.369
0.75,0.8787,-5.2463,-2.9977,6.106
0.754,0.2577,-5.0002,-2.7676,5.721
0.762,-0.7194,-4.8177,-2.441,5.449
0.765,-1.8425,-4.7062,-2.0341,5.448
0.769,-2.8189,-4.6925,-1.8166,5.768
0.785,-3.4596,-4.6477,-1.7782,6.061
0.787,-3.6424,-4.4847,-1.7679,6.042
0.787,-3.4289,-4.228,-1.7973,5.733
0.815,-3.0094,-3.9455,-1.8828,5.307
0.816,-2.5148,-3.7113,-2.0842,4.944
0.816,-2.0617,-3.5984,-2.3011,4.743
0.817,-1.7669,-3.5753,-2.4693,4.691
0.817,-1.6048,-3.6068,-2.6202,4.738
0.818,-1.5183,-3.5803,-2.7995,4.792
0.819,-1.5075,-3.4808,-3.0168,4.847
0.83,-1.6169,-3.2683,-3.205,4.855
0.83,-1.7613,-3.0304,-3.374,4.865
0.834,-1.9154,-2.8069,-3.4716,4.858
0.839,-2.067,-2.6446,-3.5964,4.919
0.846,-2.1353,-2.5144,-3.6862,4.947
0.849,-2.1787,-2.4059,-3.7705,4.975
0.853,-2.1947,-2.2708,-3.8375,4.97
0.858,-2.224,-2.1189,-3.8179,4.9
0.865,-2.2105,-1.9412,-3.7618,4.776
0.867,-2.2144,-1.7379,-3.6715,4.626
0.872,-2.2056,-1.5284,-3.5855,4.478
0.881,-2.159,-1.3343,-3.4988,4.322
0.883,-2.0787,-1.1718,-3.424,4.173
