time,ax,ay,az,aT
0.008,0.542,-0.667,0.2171,0.886
0.008,0.527,-0.6807,0.2757,0.904
0.008,0.5021,-0.6684,0.3755,0.916
0.009,0.4525,-0.6666,0.4738,0.935
0.013,0.3687,-0.6325,0.5376,0.908
0.019,0.3101,-0.6313,0.5432,0.889
0.024,0.284,-0.5962,0.5076,0.833
0.034,0.2567,-0.556,0.4907,0.785
0.034,0.2188,-0.5088,0.4977,0.745
0.037,0.1585,-0.45,0.5501,0.728
0.048,0.1141,-0.3993,0.5719,0.707
0.049,0.0448,-0.3186,0.5251,0.616
0.052,-0.6685,-0.0558,0.8546,1.086
0.057,-0.042,-0.2,0.5019,0.542
0.061,0.2878,-0.2318,0.2664,0.456
0.067,0.2967,-0.2462,0.1717,0.422
0.072,0.1257,-0.2424,0.1809,0.328
0.078,-0.0236,-0.2869,0.1308,0.316
0.08,-0.1634,-0.723,-0.3854,0.835
0.087,-0.0129,-0.672,-0.3952,0.78
0.09,0.1658,-0.5571,-0.4398,0.729
0.096,0.2363,-0.4472,-0.4933,0.707
0.1,0.3019,-0.3782,-0.3954,0.625
0.105,0.296,-0.3427,-0.2322,0.509
0.11,0.2256,-0.3581,-0.1207,0.44
0.115,0.1287,-0.3816,-0.0509,0.406
0.119,0.0843,-0.402,-0.0341,0.412
0.129,0.0467,-0.3597,-0.0155,0.363
0.13,0.0208,-0.3006,0.0128,0.302
0.134,-0.0053,-0.2371,0.0604,0.245
0.139,-0.0486,-0.1599,0.1322,0.213
0.146,-0.0946,-0.1029,0.1999,0.244
0.149,-0.1221,-0.0565,0.2083,0.248
0.153,-0.1647,-0.0138,0.2367,0.289
0.159,-0.1697,-0.0037,0.1824,0.249
0.163,-0.1655,-0.0358,0.1722,0.242
0.168,-0.1906,-0.0527,0.1034,0.223
0.173,-0.2256,-0.0401,0.0166,0.23
0.178,-0.2707,-0.0504,-0.1266,0.303
0.182,-0.2948,-0.0448,-0.2882,0.415
0.187,-0.2983,-0.0204,-0.4925,0.576
0.192,-0.2881,-0.0005,-0.6754,0.734
0.197,-0.2566,0.0158,-0.8348,0.873
0.202,-0.2611,0.0645,-0.9303,0.968
0.208,-0.256,0.0816,-0.9934,1.029
0.211,-0.2697,0.0909,-0.95,0.992
0.217,-0.2494,0.0804,-0.8789,0.917
0.221,-0.1733,0.0831,-0.7918,0.815
0.231,-0.063,0.0918,-0.6981,0.707
0.231,0.0198,0.101,-0.5903,0.599
0.236,0.0733,0.1483,-0.4678,0.496
0.247,0.143,0.2023,-0.3137,0.4
0.248,0.1331,0.1404,-0.154,0.247
0.251,0.1096,0.0654,-0.0294,0.131
0.256,0.0957,0.0607,-0.0043,0.113
0.261,0.096,0.1116,-0.0976,0.177
0.266,0.1631,0.2155,-0.2637,0.378
0.27,0.1865,0.3656,-0.4334,0.597
0.275,0.1472,0.5168,-0.6046,0.809
0.28,0.0741,0.6957,-0.7394,1.018
0.284,0.032,0.8384,-0.8308,1.181
0.289,-0.0127,0.9409,-0.9297,1.323
0.294,-0.0357,1.0107,-0.9955,1.419
0.299,0.0089,1.008,-1.0932,1.487
0.304,0.1001,0.9453,-1.168,1.506
0.31,0.2073,0.8492,-1.1842,1.472
0.315,0.2069,0.8156,-1.1227,1.403
0.319,0.1637,0.813,-1.0696,1.353
0.323,0.1302,0.7816,-0.9888,1.267
0.328,0.1228,0.6617,-0.8518,1.086
0.333,0.1801,0.3959,-0.68,0.807
0.337,0.4672,0.0036,-0.5881,0.751
0.346,0.6255,-0.1658,-0.4592,0.793
0.347,0.7453,-0.1439,-0.3814,0.849
0.352,0.7742,-0.2303,-0.2708,0.852
0.357,0.4776,-0.285,-0.1291,0.571
0.362,0.6238,-0.1488,0.0203,0.642
0.367,1.1875,-0.0256,0.0967,1.192
0.371,1.5709,0.0156,0.2387,1.589
0.377,1.8103,-0.1976,0.3986,1.864
0.382,2.5253,-1.2261,0.5024,2.852
0.386,3.3779,-2.9881,0.2788,4.518
0.391,3.6386,-3.4067,0.7204,5.036
0.396,3.6893,-3.6462,1.4527,5.387
0.4,3.4997,-3.68,1.8442,5.403
0.405,3.5385,-3.5441,1.9137,5.361
0.412,3.3579,-3.3958,1.8255,5.113
0.415,3.2523,-3.1042,1.5295,4.749
0.42,3.6787,-2.7551,0.557,4.63
0.431,2.576,-2.2636,0.1781,3.434
0.431,1.5656,-1.8923,0.6614,2.543
0.435,1.0402,-1.8053,0.6899,2.195
0.44,0.4835,-1.5114,0.5284,1.673
0.448,-0.3748,-0.8322,0.6782,1.137
0.449,-1.2953,-0.3686,1.074,1.723
0.454,-1.9696,-0.1375,1.3677,2.402
0.459,-2.3035,-0.0859,1.8557,2.959
0.464,-2.0721,-0.1438,1.96,2.856
0.469,-1.7701,-0.0472,1.8779,2.581
0.474,-1.0198,0.2373,1.8414,2.118
0.479,-0.8872,0.3605,1.9982,2.216
0.484,-0.9231,0.5047,2.3257,2.553
0.489,-0.9044,0.5932,2.6177,2.832
0.494,-0.8717,0.4544,2.7211,2.893
0.5,-0.5017,0.0765,2.6171,2.666
0.504,-0.0694,0.2009,2.2556,2.266
0.511,0.2186,0.2919,1.8547,1.89
0.515,0.3542,0.2277,1.558,1.614
0.517,0.4316,0.1723,1.2863,1.368
0.521,0.5179,0.2058,1.0799,1.215
0.528,0.6079,0.3326,0.8853,1.124
0.532,0.6076,0.4275,0.6709,1.001
0.536,0.5466,0.5145,0.3903,0.846
0.541,0.4674,0.5857,0.0043,0.749
0.557,0.6823,0.9393,0.0191,1.161
0.558,-0.3107,1.0596,-0.38,1.168
0.558,-0.6004,0.9004,-0.9347,1.43
0.6,-0.1484,0.9001,-1.5582,1.806
0.6,0.148,0.8588,-2.1447,2.315
0.601,0.0622,0.8604,-2.3329,2.487
0.601,0.1256,1.0407,-2.1662,2.406
0.602,0.1445,1.2345,-1.8103,2.196
0.602,0.2801,1.6444,-1.4166,2.188
0.603,0.4354,1.9354,-1.0432,2.241
0.603,0.4698,2.0576,-0.8339,2.269
0.603,0.4119,1.9872,-0.7621,2.168
0.604,0.3163,1.7002,-0.8223,1.915
0.611,0.2052,1.368,-0.8653,1.632
0.616,0.0659,1.1098,-0.8736,1.414
0.621,-0.0492,0.9604,-0.7705,1.232
0.623,-0.1822,0.8233,-0.5179,0.99
0.629,-0.1868,0.7457,-0.2596,0.811
0.633,-0.0448,0.5787,-0.0574,0.583
0.638,0.2719,0.4408,0.1181,0.531
0.648,0.5634,0.3682,0.2947,0.735
0.648,0.7601,0.2905,0.4394,0.925
0.653,0.717,0.22,0.5065,0.905
0.658,0.5421,0.1689,0.4884,0.749
0.668,0.396,0.169,0.4704,0.638
0.668,0.3401,0.1893,0.4119,0.567
0.672,0.3407,0.2474,0.3914,0.575
0.678,0.5756,0.3909,0.3781,0.792
0.682,0.7037,0.4959,0.3767,0.94
0.689,0.5597,0.4909,0.5,0.897
0.691,0.242,0.6101,0.5306,0.844
0.696,0.1911,0.0059,0.4519,0.491
0.701,0.6009,-0.9101,0.5632,1.227
0.706,0.8325,-0.991,0.6235,1.437
0.711,0.5196,-0.9968,0.537,1.246
0.715,0.2657,-1.128,0.5709,1.292
0.72,0.1773,-1.1341,0.6909,1.34
