timeJ,axJ,ayJ,azJ,aTJ
27.561,-0.0039,-0.0158,-0.0059,0.017
27.566,0.0199,0.0104,-0.0059,0.023
27.57,0.0031,0.008,-0.0058,0.01
27.577,-0.0016,0.0079,0.0013,0.008
27.58,-0.0016,-0.0016,0.0013,0.003
27.585,-0.0016,-0.0016,0.0132,0.013
27.59,-0.0159,-0.004,-0.0107,0.02
27.595,-0.0086,-0.011,-0.0011,0.014
27.601,-0.0061,0.0081,-0.0011,0.01
27.605,0.0153,0.0056,-0.0082,0.018
27.61,0.0009,-0.0016,-0.001,0.002
27.614,-0.0015,-0.0016,-0.001,0.002
27.619,-0.0038,0.0055,0.0014,0.007
27.625,0.0009,-0.0016,-0.0105,0.011
27.629,0.0081,0.0007,0.0086,0.012
27.634,-0.0039,0.0031,0.0109,0.012
27.638,-0.0157,-0.0136,-0.0058,0.022
27.643,0.0082,0.0079,-0.0058,0.013
27.648,0.0033,0.0007,-0.0057,0.007
27.658,0.0009,0.0008,-0.0033,0.003
27.659,-0.0157,0.0055,-0.0104,0.02
27.663,-0.0014,0.0007,-0.0056,0.006
27.667,0.0153,0.0078,0.0182,0.025
27.673,0.0033,-0.0159,-0.008,0.018
27.677,0.008,0.0032,0.0134,0.016
27.682,0.0008,-0.0039,-0.001,0.004
27.688,-0.004,0.0127,-0.0033,0.014
27.692,-0.0087,-0.0064,0.0038,0.011
27.7,-0.0157,-0.0039,0.0133,0.021
27.701,-0.0037,-0.0086,0.006,0.011
27.706,-0.0036,-0.0062,0.0108,0.013
27.712,-0.0083,0.0056,-0.0083,0.013
27.716,-0.0035,0.0008,0.0131,0.014
27.721,0.006,-0.0158,-0.0131,0.021
27.725,-0.0059,0.001,-0.0083,0.01
27.73,-0.0082,-0.0038,0.0132,0.016
27.735,-0.0081,0.0057,0.0012,0.01
27.74,-0.0056,0.0199,0.0083,0.022
27.745,-0.0031,0.0079,-0.0036,0.009
27.75,0.0064,0.0149,0.0059,0.017
27.755,0.0039,0.0124,0.0011,0.013
27.76,-0.0008,0.0076,-0.006,0.01
27.765,0.0086,-0.002,-0.0131,0.016
27.769,-0.0009,-0.0043,-0.0035,0.006
27.774,0.0015,-0.0043,-0.0082,0.009
27.779,-0.0033,-0.0043,-0.001,0.006
27.784,-0.0009,-0.0019,0.0085,0.009
27.789,0.0063,-0.0043,0.0013,0.008
27.793,0.0039,0.0029,0.0013,0.005
27.798,0.0039,0.0075,-0.0106,0.014
27.803,0.0038,0.0028,-0.0034,0.006
27.808,-0.0057,-0.0067,0.0061,0.011
27.813,-0.0057,0.0004,0.0156,0.017
27.818,-0.0032,0.0075,0.0012,0.008
27.823,-0.0103,0.0027,-0.0035,0.011
27.828,-0.0031,-0.0116,0.0036,0.013
27.832,0.0064,0.0123,-0.0059,0.015
27.837,0.0063,0.0146,-0.0225,0.027
27.843,0.0181,0.0026,0.0062,0.019
27.847,-0.0011,0.0002,-0.0057,0.006
27.852,0.0132,0.0002,-0.0057,0.014
27.856,0.0107,-0.0046,-0.008,0.014
27.861,-0.0084,0.0002,0.0039,0.009
27.866,-0.0059,0.0073,-0.0198,0.022
27.871,0.0107,0.0002,-0.0197,0.022
27.877,0.0059,0.0002,0.009,0.011
27.881,0.0201,-0.0022,-0.0148,0.025
27.885,0.0057,-0.0021,-0.0218,0.023
27.89,0.0033,-0.0069,-0.0169,0.019
27.895,-0.0086,-0.021,-0.012,0.026
27.9,-0.0062,-0.0161,0.0071,0.019
27.905,-0.0133,-0.0065,-0.0096,0.018
27.91,-0.0037,-0.0065,-0.0024,0.008
27.915,0.013,0.0007,0,0.013
27.919,0.0058,-0.0088,-0.0095,0.014
27.924,0.0058,-0.0063,-0.0142,0.017
27.929,0.0034,-0.0086,-0.0141,0.017
27.934,-0.0014,0.0057,0.0003,0.006
27.939,-0.0085,0.0033,-0.0068,0.011
27.944,-0.0132,-0.0015,0.0051,0.014
27.948,-0.0036,0.008,0.0051,0.01
27.953,-0.0012,0.0032,0.0121,0.013
27.958,0.0012,0.015,0.0025,0.015
27.97,0.0059,0.0007,-0.0022,0.006
27.97,0.0035,-0.0113,-0.007,0.014
27.973,0.0082,0.0196,0.005,0.022
27.978,0.0011,0.0029,0.0073,0.008
27.984,0.0106,0.0076,-0.007,0.015
27.987,0.0057,0.0099,-0.0117,0.016
27.992,0.0033,0.005,0.0003,0.006
27.997,-0.0015,0.0097,0.0003,0.01
28.002,0.0057,-0.007,-0.0021,0.009
28.01,0.0056,-0.0046,-0.0044,0.008
28.011,-0.0063,-0.0116,-0.0044,0.014
28.016,-0.0039,0.0028,-0.002,0.005
28.021,0.008,0.0004,0.0051,0.01
28.027,0.0127,0.0004,0.0146,0.019
28.032,0.0031,-0.0043,0.0097,0.011
28.036,0.0102,0.0028,-0.0022,0.011
28.042,-0.0017,0.0099,0.0049,0.011
28.045,0.0006,0.0003,0.0025,0.003
28.05,0.0053,0.0051,-0.0046,0.009
28.055,0.01,-0.0044,-0.0117,0.016
28.061,-0.0019,-0.0044,0.005,0.007
28.066,0.01,-0.0043,0.0073,0.013
28.07,0.0146,-0.0043,-0.0117,0.019
28.074,0.0003,0.0029,0.0002,0.003
28.08,0.0026,0.0076,-0.014,0.016
28.086,0.0074,0.0005,-0.0068,0.01
28.089,0.0073,0.01,0.0099,0.016
28.094,0.0025,0.0004,-0.0068,0.007
28.099,0.0025,0.0003,-0.0091,0.009
28.104,0.0096,-0.0068,-0.0067,0.014
28.109,-0.0023,0.0004,0.0052,0.006
28.114,0,0.017,-0.0043,0.017
28.118,-0.0142,0.0025,-0.0161,0.022
28.124,-0.0046,0.0001,-0.0065,0.008
28.129,0.0002,0.0025,0.0078,0.008
28.133,-0.0093,0.0096,0.003,0.014
28.137,0.0169,-0.0094,0.0053,0.02
28.142,0.0096,-0.0093,0.0029,0.014
28.148,0.0024,0.0002,0.0029,0.004
28.152,0.0071,-0.0093,0.0029,0.012
28.157,-0.0072,-0.0164,-0.0043,0.018
28.162,-0.0047,0.0051,0.0029,0.008
28.166,-0.019,-0.014,0.0076,0.025
28.172,0.0097,-0.0067,-0.0067,0.014
28.176,0.0025,-0.0162,0.01,0.019
28.181,0.012,-0.0042,0.0004,0.013
28.186,0.0166,0.0077,0.0099,0.021
28.192,-0.0049,-0.0019,-0.002,0.006
28.196,0.0023,0.0053,-0.0068,0.009
28.201,0.0023,-0.0042,0.0004,0.005
28.206,0.0022,0.0053,-0.0043,0.007
28.21,-0.0002,-0.009,-0.0186,0.021
28.215,-0.0026,-0.0041,0.0196,0.02
28.22,-0.0168,-0.0065,0.0004,0.018
28.225,0.0166,-0.0088,0.0004,0.019
28.23,0.0117,0.0032,-0.0043,0.013
28.234,0.0021,0.0008,0.0028,0.004
28.241,-0.0074,-0.023,-0.0019,0.024
28.244,-0.005,0.0081,0.0004,0.01
28.249,-0.0003,-0.0062,0.0004,0.006
28.254,-0.0002,-0.0014,-0.0114,0.012
28.259,0.0046,0.0034,-0.0018,0.006
28.264,0.0164,-0.0085,-0.0066,0.02
28.269,-0.0051,-0.0037,0.0006,0.006
28.277,-0.0027,-0.0013,0.0053,0.006
28.278,-0.0145,0.0082,0.0006,0.017
28.283,0.0022,0.001,0.0077,0.008
28.288,-0.0002,-0.0037,-0.0161,0.017
28.294,-0.0073,-0.0061,0.0006,0.009
28.298,-0.0001,0.0035,0.0077,0.008
28.302,-0.0167,-0.0013,-0.0018,0.017
28.307,0.0025,-0.0013,0.0006,0.003
28.314,0.0072,-0.006,-0.0161,0.019
28.317,-0.0024,-0.0083,-0.0064,0.011
28.325,0,-0.0011,-0.004,0.004
28.328,0.0048,0.0061,-0.0016,0.008
28.331,-0.0024,0.0036,-0.0016,0.005
28.337,0.0023,0.0012,0.0103,0.011
28.342,0.0071,0.0012,0.0007,0.007
28.346,0.0165,0.0036,-0.0064,0.018
28.354,-0.0002,0.0036,0.0031,0.005
28.356,-0.0074,-0.006,-0.0064,0.011
28.364,-0.0121,-0.0035,0.0008,0.013
28.366,-0.0001,-0.0035,0.0008,0.004
28.37,-0.0049,0.0084,-0.0111,0.015
28.375,-0.0048,0.0154,-0.0086,0.018
28.38,0.0095,-0.0014,0.0009,0.01
28.386,-0.0096,-0.0133,0.0152,0.022
28.389,-0.0048,0.0058,0.0032,0.008
28.394,-0.0047,0.001,0.0198,0.02
28.399,0.0095,0.0057,0.0077,0.014
28.404,0.0142,-0.0014,0.0053,0.015
28.409,0.0022,0.001,0.0029,0.004
28.415,-0.0025,-0.0014,0.01,0.01
28.418,0.0046,0.0105,0.0028,0.012
28.425,0.0093,-0.0038,-0.002,0.01
28.429,0.0092,-0.0085,-0.0044,0.013
28.434,0.0068,0.0058,-0.0114,0.014
28.438,-0.0028,-0.0013,0.0053,0.006
28.444,0.0068,0.0058,0.0052,0.01
28.448,-0.0075,-0.0084,0.0099,0.015
28.452,-0.0098,-0.0131,0.0027,0.017
28.458,-0.0002,0.0084,-0.0044,0.009
28.462,-0.0002,-0.0083,0.0099,0.013
28.467,0.007,0.0013,-0.0068,0.01
28.472,0.0022,0.0061,-0.0139,0.015
28.476,-0.0002,0.0037,-0.0114,0.012
28.481,0.0022,-0.001,-0.0066,0.007
28.486,-0.005,-0.0081,-0.0018,0.01
28.491,0.0022,0.0062,-0.0136,0.015
28.496,0.0046,0.0014,-0.0017,0.005
28.501,-0.0002,0.0061,-0.0111,0.013
28.506,0.0046,-0.0011,-0.011,0.012
28.511,0.0045,0.0061,-0.0038,0.008
28.515,-0.0169,0.0084,0.0057,0.02
28.521,0.0022,0.0012,-0.0086,0.009
28.525,0.0046,-0.0059,0.0105,0.013
28.53,-0.0049,-0.0082,0.0009,0.01
28.535,-0.0096,-0.0058,-0.0086,0.014
28.54,0.0119,-0.0033,0.001,0.012
28.544,0.0142,-0.0057,0.0057,0.016
28.551,-0.0026,0.0063,0.0033,0.008
28.554,-0.0002,-0.0009,0.0009,0.001
28.559,0.0022,-0.0032,0.0009,0.004
28.564,0.0023,-0.0032,-0.0063,0.007
28.569,-0.0072,0.0111,0.0033,0.014
28.574,-0.0119,0.0087,0.008,0.017
28.578,0.0001,0.0015,-0.004,0.004
28.583,-0.0094,0.0157,0.0032,0.019
28.596,0.0001,-0.0034,0.0055,0.006
28.596,0.0049,0.0062,0.0055,0.01
28.597,0.0144,-0.001,-0.0112,0.018
28.603,-0.0166,0.0133,-0.0016,0.021
28.608,-0.0023,-0.0058,0.0103,0.012
28.613,-0.0142,0.0014,-0.0064,0.016
28.617,0.0049,-0.0129,0.0055,0.015
28.622,-0.007,0.0086,-0.0135,0.017
28.627,-0.007,0.0038,-0.011,0.014
28.64,-0.0212,-0.0034,-0.0109,0.024
28.641,-0.002,-0.001,-0.0132,0.013
28.641,-0.002,-0.0058,-0.0178,0.019
28.646,0.0005,0.0037,-0.0082,0.009
28.651,0.0076,-0.0058,-0.0034,0.01
28.656,0.0099,-0.0011,0.0014,0.01
28.661,-0.0068,-0.0011,0.0085,0.011
28.665,-0.0163,-0.0034,-0.0034,0.017
28.671,-0.0043,0.0038,0.0037,0.007
28.675,-0.0113,0.0037,-0.0105,0.016
28.68,-0.0041,0.0084,-0.0128,0.016
28.685,0.0031,-0.0201,-0.0032,0.021
28.691,0.0031,-0.001,-0.0008,0.003
28.694,0.0055,-0.0057,-0.0079,0.011
28.7,0.015,-0.0104,-0.0008,0.018
28.704,0.0101,0.0087,-0.0102,0.017
28.709,0.0195,-0.0057,-0.0078,0.022
28.714,0.005,-0.0008,-0.003,0.006
28.719,0.0074,-0.0032,-0.0125,0.015
28.724,-0.0021,-0.0008,0.009,0.009
28.729,0.0027,-0.0127,0.0066,0.015
28.734,0.0074,0.0183,-0.0101,0.022
28.738,0.0097,-0.0151,-0.0076,0.019
28.743,-0.0047,-0.0126,0.0043,0.014
28.748,-0.0023,-0.0077,-0.0124,0.015
28.753,0.0025,0.0113,-0.0099,0.015
28.758,0.0025,0.0041,0.0116,0.013
28.763,0.0096,-0.0054,0.002,0.011
28.767,-0.0024,-0.0031,0.0067,0.008
28.772,-0.0023,0.0017,0.009,0.009
28.777,-0.007,-0.0007,-0.0005,0.007
28.782,0.0049,0.0136,0.0018,0.015
28.787,0.0096,0.0016,0.0184,0.021
28.792,0.0024,-0.0032,0.0017,0.004
28.796,0.019,0.0063,-0.0007,0.02
28.801,0.0022,-0.0032,-0.0031,0.005
28.81,0.0022,-0.008,0.0112,0.014
28.811,-0.005,-0.0055,0.0063,0.01
28.815,0.0069,-0.0149,0.0086,0.019
28.821,-0.0239,0.0043,-0.0104,0.026
28.826,0.0143,-0.0029,-0.0032,0.015
28.831,0.007,-0.01,-0.0032,0.013
28.835,-0.0048,0.0138,-0.0126,0.019
28.84,0.0118,0.0019,0.0064,0.014
28.845,-0.0001,0.0066,-0.0102,0.012
28.85,0.0094,-0.0006,0.0136,0.017
28.854,0.0093,0.0089,-0.0008,0.013
28.859,-0.0027,0.0017,0.0064,0.007
28.864,-0.0122,-0.0054,0.0063,0.015
28.869,-0.005,-0.0006,-0.0009,0.005
28.874,-0.0073,-0.0029,-0.0032,0.009
28.88,-0.0001,-0.0052,0.0063,0.008
28.883,0.0094,-0.0028,-0.0009,0.01
28.888,0.0046,-0.017,-0.0127,0.022
28.9,0.014,0.0068,-0.0008,0.016
28.9,0.002,-0.0027,0.004,0.005
28.903,0.0044,-0.0097,-0.0103,0.015
28.908,-0.0028,-0.0049,0.0017,0.006
28.914,0.002,-0.0048,-0.0078,0.009
28.918,-0.0028,0,0.0041,0.005
28.923,-0.0028,0.0048,-0.0055,0.008
28.927,0.0115,0.0024,0.0112,0.016
28.932,0.0019,0.0095,-0.0102,0.014
28.937,0.0043,-0.012,-0.0054,0.014
28.942,-0.0005,0.0118,-0.0006,0.012
28.947,-0.0029,-0.0001,0.0089,0.009
28.952,0.0019,-0.0024,-0.0054,0.006
28.956,0.0018,-0.0001,0.0017,0.003
28.961,-0.0029,0.0142,0.0112,0.018
28.966,-0.0053,0.0045,0.0016,0.007
28.974,0.0066,-0.0074,-0.0079,0.013
28.976,0.0043,0.0046,-0.0031,0.007
28.981,-0.0052,-0.0002,-0.0007,0.005
28.988,0.002,0.0045,0.0064,0.008
28.991,-0.0099,0.0069,-0.0007,0.012
28.998,0.0045,-0.0027,-0.0197,0.02
29,-0.0074,0.0044,-0.0124,0.015
29.005,-0.005,-0.0099,0.009,0.014
29.011,-0.0073,-0.0051,-0.0053,0.01
29.017,0.0093,0.0044,-0.0147,0.018
29.02,-0.0002,0.0115,0.002,0.012
29.025,0.0117,0.0066,0.002,0.014
29.031,0.0021,-0.0077,-0.0004,0.008
29.039,-0.0002,0.0043,0.0091,0.01
29.04,-0.005,0.0089,-0.0076,0.013
29.05,-0.005,-0.003,-0.0075,0.009
29.052,0.0093,0.0066,-0.0098,0.015
29.057,-0.0121,-0.0053,-0.0002,0.013
29.062,-0.0026,-0.0053,-0.0002,0.006
29.065,-0.0097,0.0042,0.0045,0.012
29.077,0.0117,-0.0005,-0.0121,0.017
29.078,0.0139,-0.0076,-0.0192,0.025
29.084,0.0162,-0.0004,-0.0143,0.022
29.084,0.0041,-0.0028,0.0001,0.005
29.088,0.0088,-0.0052,0.0049,0.011
29.094,-0.0007,0.0044,0.0095,0.011
29.099,-0.0101,-0.0005,-0.0071,0.012
29.103,-0.0076,-0.0052,-0.0023,0.01
29.109,0.0091,-0.0051,0.0072,0.013
29.112,-0.0029,0.0068,-0.0024,0.008
29.118,0.0066,-0.0052,-0.0095,0.013
29.122,-0.0076,0.0068,0.0072,0.012
29.127,0.0019,-0.0004,0.0048,0.005
29.133,0.0043,-0.0004,0.0119,0.013
29.136,0.0019,0.0043,-0.0025,0.005
29.142,0.0233,0.0043,0.0165,0.029
29.147,0.0088,0.0043,0.0045,0.011
29.152,0.0016,-0.0053,0.0092,0.011
29.156,0.0016,-0.0052,0.0139,0.015
29.162,-0.0032,-0.0052,-0.0052,0.008
29.166,-0.0127,-0.0099,0.0138,0.021
29.172,-0.0006,0.002,0.0019,0.003
29.176,0.0017,-0.0027,-0.0029,0.004
29.183,0.0088,0.002,-0.0029,0.009
29.186,-0.0007,0.002,-0.01,0.01
29.192,0.0017,-0.0004,-0.0028,0.003
29.197,0.0065,0.0067,0.0067,0.012
29.202,0.0088,0.0043,0.0043,0.011
29.206,0.004,0.0066,0.009,0.012
29.212,0.0063,-0.003,-0.0076,0.01
29.216,-0.0032,0.0042,-0.01,0.011
29.221,-0.0032,0.0018,-0.0123,0.013
29.229,0.0016,0.0041,-0.0074,0.009
29.231,0.0158,-0.0006,-0.0073,0.017
29.237,0.0015,-0.003,-0.0002,0.003
29.241,-0.0008,-0.0006,-0.0073,0.007
29.246,-0.0032,-0.003,0.0023,0.005
29.251,0.0111,-0.0053,-0.0096,0.016
29.256,-0.0009,0.0042,-0.0095,0.01
29.26,-0.0056,-0.0029,-0.0071,0.009
29.265,0.0016,-0.0077,-0.007,0.01
29.271,-0.0008,-0.0076,-0.007,0.01
29.274,0.0158,-0.0028,0.0026,0.016
29.281,-0.0033,0.002,-0.0212,0.021
29.283,0.0039,0.0043,-0.002,0.006
29.289,0.0015,0.0019,-0.0067,0.007
29.292,0.0039,0.0066,-0.009,0.012
29.298,-0.008,-0.0029,0.01,0.013
29.302,-0.0079,0.0042,-0.0067,0.011
29.307,0.0064,-0.0101,0.0052,0.013
29.312,0.0016,0.0161,0.0052,0.017
29.316,-0.0031,-0.0078,-0.0043,0.009
29.321,-0.0007,-0.0053,-0.0043,0.007
29.326,0.0064,0.0066,0.0076,0.012
29.331,-0.0103,-0.0125,-0.0067,0.017
29.338,-0.0031,0.0066,-0.0066,0.01
29.339,0.0064,0.0041,-0.0018,0.008
29.346,-0.0031,-0.0007,0.0006,0.003
29.35,0.0065,0.004,0.01,0.013
29.355,-0.0055,-0.0031,-0.0066,0.009
29.359,-0.0055,-0.0031,-0.0042,0.008
29.368,-0.0078,-0.0031,0.0053,0.01
29.369,-0.0007,-0.0055,-0.0042,0.007
29.377,0.0136,0.0041,0.01,0.017
29.38,-0.0126,-0.0054,0.0052,0.015
29.387,0.0041,0.0065,-0.0043,0.009
29.39,0.016,-0.003,-0.0138,0.021
29.397,0.004,-0.0125,0.0053,0.014
29.4,0.0111,0.0019,0.0029,0.012
29.406,0.0015,-0.0171,-0.0019,0.017
29.411,-0.0079,0.0021,-0.0066,0.011
29.413,-0.0031,-0.0003,0.0029,0.004
29.418,0.0159,-0.0099,-0.0042,0.019
29.422,-0.0032,0.0021,-0.0137,0.014
29.428,-0.0008,-0.0074,-0.0088,0.012
29.431,0.0016,-0.0026,-0.004,0.005
29.436,0.0016,0.0069,-0.0158,0.017
29.443,-0.0174,0.0187,-0.0014,0.026
29.447,-0.0007,-0.0004,0.0104,0.01
29.453,0.0064,0.0091,0.0009,0.011
29.458,-0.0055,-0.0005,0.0008,0.006
29.462,-0.0078,-0.0052,0.0127,0.016
29.466,-0.0054,-0.017,0.0031,0.018
29.47,-0.0007,-0.0074,0.0102,0.013
29.474,0.0112,0.0045,-0.0089,0.015
29.48,0.004,0.0021,-0.0159,0.017
29.485,-0.0246,0.0092,0.0032,0.026
29.49,-0.0006,-0.0004,-0.0016,0.002
29.498,-0.0101,0.0043,0.0008,0.011
29.5,-0.0029,0.0019,0.0008,0.004
29.505,0.0019,-0.0004,-0.0205,0.021
29.51,-0.0005,-0.0052,-0.0038,0.006
29.518,-0.0099,0.0091,-0.0037,0.014
29.519,0.0092,-0.0099,0.0082,0.016
29.525,-0.017,-0.0194,-0.0014,0.026
29.531,0.0045,0.0022,0.0081,0.01
29.543,0.014,0.0117,-0.0038,0.019
29.544,-0.0099,-0.0145,-0.0133,0.022
29.545,-0.0027,-0.0025,-0.0013,0.004
29.551,-0.0121,-0.0049,0.0106,0.017
29.556,0.0165,-0.012,-0.0038,0.021
29.56,0.0021,0.0047,0.0034,0.006
29.566,-0.0026,0,-0.0109,0.011
29.568,0.0045,0.0119,-0.006,0.014
29.575,0.0044,-0.0001,0.013,0.014
29.58,0.0162,-0.0167,0.0034,0.024
29.586,0.0018,-0.0023,0.0034,0.004
29.591,0.0112,0.0025,0.0081,0.014
29.594,0.0016,0.0096,-0.0062,0.012
29.599,0.004,-0.0047,0.0009,0.006
29.604,-0.0126,-0.0024,-0.0038,0.013
29.61,0.0136,-0.0071,-0.0085,0.018
29.614,-0.0078,0.0001,-0.0084,0.011
29.621,-0.0006,0.0048,0.0082,0.01
29.625,0.0185,0.0048,0.001,0.019
29.63,0.0065,0.0071,-0.0013,0.01
29.635,-0.0078,0,0.0082,0.011
29.637,0.0065,0.0024,0.0128,0.015
29.643,0.0112,0.0119,0.008,0.018
29.648,0.0632,0.0166,-0.0182,0.068
29.652,-0.011,-0.0026,-0.0085,0.014
29.657,-0.0085,0.026,0.0247,0.037
29.66,0.0403,-0.0096,0.1004,0.109
29.665,-0.1756,0.0221,0.0687,0.19
29.671,-0.1688,0.0095,-0.0697,0.183
29.675,-0.1016,0.0218,-0.2307,0.253
29.68,-0.1272,0.0325,-0.2292,0.264
29.685,-0.0585,-0.0299,-0.14,0.155
29.689,0.0755,0.0127,-0.0017,0.077
29.694,-0.2265,0.1234,0.0736,0.268
29.698,0.1409,-0.1258,0.063,0.199
29.704,0.1384,-0.0108,0.0312,0.142
29.708,0.085,0.05,0.1802,0.205
29.716,0.2099,-0.0808,0.3566,0.422
29.718,0.2997,-0.039,0.3824,0.487
29.724,0.2031,-0.028,0.2684,0.338
29.729,0.1194,0.0045,-0.0201,0.121
29.733,-0.1812,0.0326,-0.261,0.319
29.742,-0.9585,0.3993,-0.3055,1.082
29.745,-1.3486,0.4708,-0.2687,1.453
29.748,-1.5378,0.4296,-0.1964,1.609
29.752,-1.3664,0.5698,-0.0885,1.483
29.758,-1.1225,0.5131,0.0097,1.234
29.762,-0.8564,0.3293,-0.0191,0.918
29.77,-0.1353,0.0906,-0.1554,0.225
29.773,1.5188,-0.2532,-0.416,1.595
29.779,3.2441,-0.5803,-0.3824,3.318
29.784,3.1445,-1.2172,0.2678,3.383
29.788,1.3129,-0.587,-0.1295,1.444
29.795,1.5909,0.4365,-0.4877,1.72
29.8,2.8818,0.5253,-0.0468,2.93
29.803,3.3418,0.4415,0.4059,3.395
29.807,2.9806,0.3562,0.1267,3.004
29.813,1.9246,0.2922,-0.745,2.084
29.818,0.4599,0.107,-1.8646,1.923
29.822,-1.0998,-0.1835,-2.8108,3.024
29.828,-2.3746,-0.5857,-3.5572,4.317
29.834,-3.3615,-0.9528,-4.9739,6.078
29.837,-4.1209,-1.1773,-6.0349,7.402
29.842,-4.5883,-1.2788,-6.1716,7.796
29.847,-4.7266,-1.0334,-4.9434,6.917
29.852,-4.4223,-0.3882,-3.8912,5.903
29.856,-4.2169,0.1262,-3.6981,5.61
29.86,-4.3424,0.1832,-3.7108,5.715
29.867,-4.9281,-0.0701,-3.6759,6.148
29.871,-5.3215,-0.4156,-3.498,6.382
29.877,-5.1942,-0.6732,-3.2804,6.18
29.882,-4.6213,-0.7873,-3.0352,5.585
29.884,-3.9157,-0.9246,-3.1018,5.08
29.893,-3.3988,-1.1639,-3.6496,5.121
29.896,-3.1311,-1.416,-4.1071,5.355
29.9,-2.9974,-1.4915,-4.1973,5.369
29.905,-2.7527,-1.3923,-4.0044,5.055
29.908,-2.3715,-1.1696,-3.7845,4.617
29.915,-1.8526,-0.893,-3.5975,4.144
29.919,-1.2159,-0.6255,-3.4361,3.698
29.923,-0.6005,-0.41,-3.3932,3.47
29.929,-0.1702,-0.2359,-3.3161,3.329
29.932,-0.0312,-0.1435,-3.2094,3.213
29.938,-0.0928,-0.145,-3.1258,3.131
29.944,-0.3135,-0.1605,-3.0558,3.076
29.948,-0.6129,-0.1522,-3.0306,3.096
29.955,-0.9211,-0.0666,-2.9927,3.132
29.957,-1.1648,0.0967,-3.0091,3.228
29.964,-1.3147,0.34,-3.1878,3.465
29.966,-1.3021,0.6468,-3.7706,4.041
29.973,-1.2887,1.1228,-4.773,5.07
29.978,-1.4507,1.7269,-5.7396,6.167
29.984,-1.5795,2.4339,-6.658,7.263
29.987,-1.7284,3.0803,-7.5614,8.346
29.991,-2.0158,3.4049,-8.3754,9.263
29.996,-2.4316,3.3557,-9.1091,10.007
30.001,-2.6817,3.0481,-9.846,10.65
30.007,-2.7017,2.6827,-10.3315,11.011
30.011,-2.5646,2.3979,-10.5715,11.139
30.016,-2.5268,2.1365,-10.2632,10.783
30.02,-2.4279,1.8345,-9.8052,10.267
30.025,-2.107,1.3687,-9.4414,9.77
30.028,-1.475,0.8092,-9.0009,9.157
30.036,-0.6159,0.2844,-8.6983,8.725
30.039,0.1281,-0.2251,-8.2803,8.284
30.045,0.638,-0.7532,-7.7343,7.797
30.05,0.8383,-1.2848,-7.2034,7.365
30.055,0.9014,-1.7837,-6.7905,7.078
30.06,1.0753,-2.2548,-6.3314,6.806
30.065,1.3131,-2.6087,-5.5475,6.269
30.07,1.5719,-2.8575,-4.3824,5.463
30.075,1.899,-3.0762,-3.1632,4.804
30.078,2.1722,-3.3549,-2.0702,4.501
30.085,2.1701,-3.6858,-1.1289,4.424
30.088,2.0261,-3.9614,-0.3944,4.467
30.113,1.8379,-4.1707,0.0709,4.558
30.114,1.4864,-4.2905,0.3652,4.555
30.115,1.0093,-4.322,0.6342,4.483
30.116,0.4785,-4.2899,0.9399,4.418
30.116,-0.0431,-4.2929,1.2723,4.478
30.117,-0.4473,-4.3076,1.5253,4.592
30.121,-0.8226,-4.3638,1.6992,4.755
30.126,-1.1213,-4.4169,1.7866,4.895
30.13,-1.2039,-4.4389,1.7167,4.909
30.136,-1.0663,-4.4292,1.4233,4.773
30.14,-0.9607,-4.2987,1.1451,4.551
30.145,-1,-4.1187,1.0246,4.36
30.15,-1.0872,-4.005,1.0443,4.279
30.154,-1.2301,-3.9156,1.08,4.244
30.159,-1.3458,-3.8346,1.1251,4.217
30.164,-1.3733,-3.7668,1.109,4.16
30.168,-1.3542,-3.7001,1.0718,4.083
30.173,-1.4162,-3.6295,1.0719,4.041
30.178,-1.5625,-3.5688,1.1063,4.05
30.185,-1.6789,-3.5676,1.131,4.102
30.189,-1.7257,-3.5631,1.201,4.137
30.195,-1.6507,-3.6026,1.2968,4.17
30.199,-1.5333,-3.6114,1.3683,4.155
30.203,-1.5867,-3.6635,1.412,4.235
30.209,-1.7201,-3.7418,1.3465,4.333
30.215,-1.8591,-3.7962,1.1808,4.389
30.217,-1.9417,-3.7569,1.0121,4.348
30.221,-2.0297,-3.6742,0.9078,4.295
30.226,-2.1164,-3.5354,0.8179,4.201
30.232,-2.168,-3.3287,0.7649,4.045
30.236,-2.087,-3.1515,0.6755,3.84
30.241,-1.9648,-2.9219,0.61,3.574
30.248,-1.8448,-2.6423,0.5031,3.262
30.252,-1.7292,-2.3752,0.3636,2.96
30.258,-1.6758,-2.1538,0.2112,2.737
30.263,-1.6198,-1.8925,0.091,2.493
30.267,-1.6399,-1.694,-0.0071,2.358
30.273,-1.6908,-1.5873,-0.0567,2.32
30.278,-1.7701,-1.5913,-0.0531,2.381
30.284,-1.8417,-1.6916,-0.0421,2.501
30.289,-1.9011,-1.8256,-0.0382,2.636
30.293,-1.8888,-1.9448,-0.0388,2.711
30.301,-1.8236,-2.028,0.012,2.727
30.303,-1.7968,-2.077,0.1291,2.749
30.307,-1.7392,-2.0513,0.2578,2.702
30.313,-1.6082,-1.9482,0.3176,2.546
30.317,-1.4827,-1.8213,0.3013,2.368
30.32,-1.4222,-1.6634,0.2662,2.205
30.325,-1.386,-1.5083,0.2432,2.063
30.329,-1.2998,-1.4087,0.1674,1.924
30.333,-1.1652,-1.3629,0.1023,1.796
30.338,-1.0251,-1.2921,0.1094,1.653
