timeJ,axJ,ayJ,azJ,aTJ
0.617,0.0389,0.0534,-0.2479,0.257
0.623,0.038,0.0566,-0.2008,0.212
0.63,0.032,0.0438,-0.1639,0.173
0.631,-0.0005,-0.0015,-0.0967,0.097
0.636,0.002,-0.0293,-0.0399,0.05
0.641,0.011,-0.0516,0.0234,0.058
0.647,0.0096,-0.0567,0.093,0.109
0.65,0.0501,-0.0592,0.1073,0.132
0.657,0.1062,-0.0663,0.1262,0.178
0.66,0.1279,-0.0638,0.1069,0.178
0.665,0.1346,-0.0779,0.0568,0.166
0.67,0.1623,-0.0872,0.0261,0.186
0.675,0.1278,-0.0774,-0.0305,0.152
0.679,0.0981,-0.0532,-0.0772,0.136
0.684,0.0636,-0.0218,-0.0999,0.12
0.696,0.0386,-0.0067,-0.1132,0.12
0.697,0.0519,0.0112,-0.1099,0.122
0.699,0.0367,0.0176,-0.0831,0.093
0.704,0.0385,0.0147,-0.0281,0.05
0.71,0.0573,0.0165,0.0312,0.067
0.713,0.0861,0.0037,0.0713,0.112
0.718,0.1485,-0.0192,0.1018,0.181
0.724,0.1684,-0.0498,0.0945,0.199
0.728,0.2006,-0.0691,0.0543,0.219
0.732,0.2215,-0.0725,0.0481,0.238
0.737,0.2312,-0.0622,0.0541,0.245
0.742,0.2154,-0.0549,0.0484,0.228
0.747,0.1789,-0.0338,0.0572,0.191
0.752,0.1122,-0.0157,0.0613,0.129
0.757,0.0696,-0.0121,0.0536,0.089
0.762,0.0246,0.0059,0.034,0.042
0.766,-0.0232,0.0358,0.0144,0.045
0.778,-0.0573,0.0684,-0.022,0.092
0.779,-0.0542,0.0871,-0.0654,0.122
0.782,-0.04,0.0946,-0.0993,0.143
0.786,-0.0384,0.0813,-0.1167,0.147
0.793,-0.0278,0.0688,-0.1341,0.153
0.796,-0.0082,0.0472,-0.1492,0.157
0.8,0.0134,0.0163,-0.1666,0.168
0.806,0.0109,0.0189,-0.1767,0.178
0.811,0.0012,-0.007,-0.2175,0.218
0.815,-0.0203,0.0007,-0.27,0.271
0.82,-0.0109,0.0156,-0.3173,0.318
0.825,-0.0228,0.0378,-0.3192,0.322
0.83,-0.0296,0.0529,-0.371,0.376
0.834,-0.0625,0.0894,-0.3702,0.386
0.841,-0.0997,0.102,-0.4169,0.441
0.845,-0.0892,0.1192,-0.4514,0.475
0.85,-0.0979,0.1106,-0.4833,0.505
0.854,-0.0756,0.0883,-0.508,0.521
0.86,-0.0889,0.0787,-0.5114,0.525
0.864,-0.0947,0.1006,-0.4959,0.515
0.869,-0.1312,0.1275,-0.4902,0.523
0.89,-0.1483,0.1472,-0.4797,0.523
0.891,-0.1602,0.1783,-0.5073,0.561
0.892,-0.1619,0.2254,-0.5131,0.583
0.892,-0.1783,0.2591,-0.5338,0.62
0.898,-0.2013,0.2588,-0.5568,0.646
0.899,-0.2982,0.2439,-0.6154,0.726
0.904,-0.3733,0.1863,-0.6405,0.764
0.91,-0.4964,0.1509,-0.6372,0.822
0.912,-0.785,0.0805,-0.6604,1.029
0.917,-0.7874,0.2264,-0.5623,0.994
0.924,-0.8227,0.6479,-0.5437,1.18
0.927,-0.8785,0.7691,-0.6046,1.315
0.932,-0.6927,0.6256,-0.527,1.072
