time,ax,ay,az,aT
0.008,-0.6386,0.005,-0.5172,0.822
0.008,-0.6824,0.0633,-0.5822,0.899
0.009,-0.7394,0.1145,-0.5568,0.933
0.009,-0.8075,0.1581,-0.4296,0.928
0.012,-0.7779,0.1822,-0.275,0.845
0.017,-0.5741,0.1337,-0.0905,0.596
0.022,0.1479,0.2085,0.0331,0.258
0.027,-0.1417,0.1078,0.0594,0.188
0.032,-0.6423,-0.0662,-0.3323,0.726
0.037,-0.6847,-0.0121,-0.4627,0.826
0.042,-0.4435,0.0705,-0.1755,0.482
0.046,-0.038,0.0347,0.0402,0.065
0.052,0.2517,-0.1171,-0.0581,0.284
0.057,0.2277,-0.1374,-0.246,0.362
0.061,0.0158,-0.0192,-0.2671,0.268
0.066,-0.1845,0.1319,-0.2216,0.317
0.072,-0.2976,0.2024,-0.1352,0.384
0.079,-0.3194,0.1946,-0.051,0.377
0.08,-0.1911,0.1102,0.0432,0.225
0.085,0.0681,0.0113,0.0329,0.076
0.09,0.3245,-0.037,-0.0722,0.335
0.095,0.4668,-0.0203,-0.1065,0.479
0.099,0.4413,0.019,0.0153,0.442
0.104,0.2579,0.0639,0.1688,0.315
0.11,0.1619,0.0164,0.2438,0.293
0.114,1.3837,-0.8611,0.4046,1.679
0.12,0.3306,-0.5778,0.9682,1.175
0.125,-0.092,0.063,-0.176,0.208
0.131,-0.2025,0.8827,-0.697,1.143
0.135,0.0658,1.0756,-0.7395,1.307
0.14,0.1377,0.7338,-0.4281,0.861
0.144,0.1796,0.286,-0.0674,0.344
0.148,0.451,-0.0799,0.0415,0.46
0.153,0.5375,-0.1997,0.1644,0.597
0.161,0.5951,-0.2949,0.1869,0.69
0.163,0.4361,-0.1822,0.4193,0.632
0.168,0.3782,-0.1284,0.5288,0.663
0.172,0.2813,-0.0553,0.4338,0.52
0.177,0.227,-0.0056,0.2734,0.355
0.182,0.2536,0.1717,0.0692,0.314
0.187,0.1907,0.5364,-0.0425,0.571
0.192,0.2656,0.9331,-0.1839,0.987
0.197,0.2154,1.4165,-0.3265,1.469
0.201,0.2758,1.719,-0.5541,1.827
0.206,0.5133,1.8219,-0.6135,1.99
0.212,0.6814,1.7541,-0.5239,1.953
0.216,0.8381,1.4651,-0.3355,1.721
0.221,1.0068,1.1794,0.0472,1.551
0.226,1.0793,0.9739,0.4686,1.527
0.23,1.1334,0.8619,0.6728,1.575
0.235,1.2972,0.6756,0.6649,1.607
0.24,1.4989,0.3795,0.5721,1.649
0.245,1.5899,0.0227,0.6166,1.705
0.25,1.4402,-0.1859,0.8387,1.677
0.254,1.1918,-0.38,1.1093,1.672
0.263,0.9664,-0.5812,1.2416,1.677
0.265,0.7706,-0.7595,1.2263,1.635
0.269,0.5983,-0.8746,1.1449,1.56
0.275,0.404,-0.8768,0.9306,1.341
0.279,0.1855,-0.7722,0.6073,1
0.284,0.0509,-0.6241,0.1249,0.638
0.288,0.0001,-0.4393,-0.4832,0.653
0.294,0.036,-0.3239,-0.9634,1.017
0.298,-0.0705,-0.1286,-1.2398,1.248
0.303,-0.3192,0.2125,-1.3292,1.383
0.308,-0.4773,0.6764,-1.2536,1.502
0.313,-0.506,1.1305,-1.1041,1.659
0.318,-0.337,1.4434,-0.7994,1.684
0.322,-0.0022,1.5187,-0.3972,1.57
0.328,0.2836,1.3426,0.0428,1.373
0.332,0.4389,1.0137,0.3889,1.171
0.337,0.5351,0.7208,0.7202,1.151
0.342,0.5821,0.5045,0.941,1.216
0.347,0.7564,0.3965,1.0894,1.384
0.351,0.9829,0.4053,1.07,1.508
0.356,1.1037,0.53,1.0382,1.605
0.363,1.0586,0.6277,1.0228,1.6
0.366,0.9597,0.6155,0.9378,1.476
0.371,0.8614,0.425,0.831,1.27
0.376,0.7703,0.2081,0.8531,1.168
0.381,0.5712,0.0048,0.851,1.025
0.385,0.3522,-0.1973,0.7293,0.834
0.39,0.134,-0.4084,0.5744,0.717
0.396,-0.1882,-0.5379,0.3507,0.669
0.4,-0.634,-0.5751,0.1759,0.874
0.405,-1.0395,-0.5488,0.0453,1.176
0.41,-0.8482,-0.4994,-0.2013,1.005
0.415,-0.5383,-0.4706,-0.3007,0.776
0.419,-0.4468,-0.371,-0.2433,0.63
0.425,-0.3584,-0.1373,-0.1203,0.402
0.429,-0.3144,0.1354,-0.0034,0.342
0.434,-0.2302,0.2009,-0.0433,0.309
0.439,-0.053,0.1319,-0.142,0.201
0.445,0.1213,-0.0243,-0.2088,0.243
0.448,0.4079,-0.2057,-0.251,0.521
0.453,0.6617,-0.4056,-0.3216,0.84
0.463,0.663,-0.4258,-0.428,0.897
0.463,0.4013,-0.2933,-0.532,0.728
0.468,0.0913,-0.0825,-0.708,0.719
0.473,-0.0407,0.0802,-1.0326,1.036
0.478,0.0486,0.153,-1.3196,1.329
0.482,0.1366,0.1061,-1.481,1.491
0.488,0.0797,-0.0029,-1.4476,1.45
0.495,0.0811,-0.0256,-1.2914,1.294
0.498,0.0101,-0.1344,-0.9884,0.998
0.502,-0.1206,-0.2692,-0.6076,0.675
0.507,-0.3406,-0.2656,-0.2871,0.519
0.513,-0.5711,-0.1865,-0.0648,0.604
0.517,-0.6606,-0.2092,0.0048,0.693
0.521,-0.7399,-0.1449,0.032,0.755
0.528,-0.8677,-0.1034,0.0552,0.876
0.532,-0.9178,-0.113,0.0148,0.925
0.537,-0.8898,-0.0903,-0.0487,0.896
0.541,-0.7757,0.0482,-0.0467,0.779
0.546,-0.6108,0.2955,0.0874,0.684
0.551,-0.3319,0.4956,0.1958,0.628
0.555,-0.1009,0.5643,0.3332,0.663
0.572,-0.133,1.0316,0.4851,1.148
0.573,-0.248,1.4757,0.7205,1.661
0.573,-0.0747,1.2458,0.6354,1.401
0.595,0.1482,0.8364,0.3283,0.911
0.596,0.0556,0.3683,0.2127,0.429
0.596,0.0735,-0.0001,0.1429,0.161
0.596,0.0031,-0.087,0.1738,0.194
0.597,-0.1005,-0.1017,0.1239,0.189
0.599,-0.3946,-0.0851,0.0579,0.408
0.605,-0.7985,0.0035,0.0381,0.799
0.61,-1.0595,0.1189,0.1504,1.077
0.614,-1.1588,0.2247,0.2857,1.214
0.62,-1.0185,0.2661,0.4607,1.149
0.623,-0.7817,0.1666,0.5893,0.993
0.629,-0.6104,-0.2405,0.6138,0.898
0.633,-0.5186,-0.8235,0.6035,1.145
0.638,-0.3822,-1.4459,0.5061,1.579
0.644,-0.1383,-1.8012,0.2018,1.818
0.649,0.1423,-1.8126,-0.2312,1.833
0.657,0.2489,-1.5156,-0.6675,1.675
0.658,0.1433,-0.9346,-1.1054,1.455
0.67,-0.002,-0.3574,-1.4478,1.491
0.671,-0.114,0.0314,-1.5803,1.585
0.673,-0.357,0.1283,-1.4173,1.467
0.687,-0.5872,-0.0574,-0.906,1.081
0.688,-0.782,-0.3699,-0.2153,0.891
0.688,-0.8969,-0.4651,0.3662,1.075
0.692,-0.9372,-0.4122,0.8752,1.347
0.697,-0.8742,-0.2472,1.2122,1.515
0.702,-0.7077,-0.2117,1.4281,1.608
0.707,-0.6245,-0.0477,1.3848,1.52
0.711,-0.7168,-0.2215,1.6868,1.846
0.715,-0.537,-0.3554,1.9021,2.008
0.72,-0.2881,-0.0247,1.5408,1.568
0.726,-0.2629,-0.3566,1.7094,1.766
0.73,-0.2636,-0.2364,1.4682,1.51
0.735,-0.4668,0.0371,1.1236,1.217
0.74,-0.6424,0.3144,0.7158,1.012
0.747,-0.5198,0.6543,-0.284,0.883
0.75,-0.7742,0.6104,0.3357,1.042
0.755,-0.4325,-0.5669,1.2417,1.432
0.777,-0.3272,-0.7067,1.5129,1.702
0.78,-0.3116,-0.5596,0.921,1.122
0.78,-0.4111,-0.8149,1.0093,1.361
0.781,-0.0083,-1.0583,0.2981,1.1
0.781,0.4403,-0.8777,-0.9836,1.39
0.785,0.6872,-0.6145,-1.2898,1.585
0.788,0.8197,-0.8353,-1.1744,1.658
0.798,0.6107,-0.8845,-0.7241,1.296
0.798,0.2563,-0.8748,-0.2274,0.94
0.803,-0.1328,-0.7369,0.2909,0.803
0.809,-0.4891,-0.5665,0.7798,1.081
