timeE,axE,ayE,azE,aTE
0.643,-0.0244,0.4317,-1.1142,1.195
0.659,-0.1359,0.6579,-1.1664,1.346
0.659,-0.2374,0.825,-0.9614,1.289
0.66,-0.3818,0.9107,-0.6399,1.177
0.661,-0.547,0.9037,-0.2511,1.086
0.688,-0.6561,0.8624,0.0289,1.084
0.689,-0.6466,0.8045,0.2347,1.058
0.689,-0.5131,0.7862,0.4028,1.022
0.69,-0.3492,0.7523,0.4905,0.964
0.69,-0.2357,0.6804,0.4671,0.858
0.691,-0.1978,0.5635,0.3901,0.713
0.694,-0.249,0.4113,0.3193,0.577
0.698,-0.3222,0.2508,0.2206,0.464
0.703,-0.3931,0.1707,0.1417,0.451
0.708,-0.4477,0.1212,0.142,0.485
0.716,-0.4435,0.1311,0.188,0.499
0.717,-0.4577,0.1433,0.2293,0.532
0.722,-0.3998,0.1072,0.3281,0.528
0.736,-0.2891,0.03,0.4223,0.513
0.736,-0.1141,-0.1243,0.4787,0.508
0.737,0.1269,-0.3176,0.5381,0.638
0.741,0.3667,-0.5142,0.5813,0.858
0.753,0.541,-0.7525,0.5203,1.063
0.753,0.5738,-0.9705,0.398,1.196
0.755,0.5166,-1.1296,0.3171,1.282
0.762,0.4441,-1.1965,0.2704,1.305
0.766,0.4022,-1.1832,0.3007,1.285
0.771,0.3856,-1.0395,0.2932,1.147
0.775,0.4125,-0.8565,0.2576,0.985
0.78,0.4134,-0.7057,0.1581,0.833
0.784,0.3901,-0.5871,0.0305,0.706
0.789,0.4503,-0.5053,-0.1108,0.686
0.794,0.5152,-0.4743,-0.2899,0.758
0.8,0.5903,-0.5057,-0.4399,0.893
0.804,0.6591,-0.5874,-0.5803,1.056
0.809,0.7535,-0.7044,-0.6777,1.234
0.814,0.7974,-0.8108,-0.8164,1.4
0.818,0.7006,-0.908,-0.9299,1.477
0.824,0.5426,-1.0046,-0.8922,1.449
0.831,0.4087,-1.0521,-0.6583,1.307
0.834,0.2835,-1.0551,-0.3814,1.157
0.839,0.003,-1.0785,-0.2094,1.099
0.845,-0.3813,-1.1106,-0.0845,1.177
0.849,-0.6263,-1.1757,-0.004,1.332
0.858,-0.6702,-1.2574,0.0658,1.426
0.859,-0.64,-1.3873,0.1254,1.533
0.864,-0.4641,-1.5305,0.223,1.615
0.869,-0.2097,-1.6804,0.2275,1.709
0.874,0.0611,-1.8202,0.1318,1.826
0.879,0.1776,-1.9386,-0.2358,1.961
0.883,-0.108,-1.8903,-0.6074,1.988
0.889,-0.2291,-1.6962,-0.4615,1.773
0.893,-0.0989,-1.41,0.0179,1.414
0.9,0.1368,-1.1427,0.3458,1.202
0.904,0.2871,-0.9938,0.2855,1.073
0.908,0.3501,-0.9732,-0.0604,1.036
0.916,0.4851,-0.9973,-0.518,1.224
0.917,0.6702,-1.0233,-1.0429,1.607
0.922,0.8128,-1.0117,-1.5948,2.056
0.925,0.914,-0.9428,-2.0306,2.418
0.938,0.9822,-0.8696,-2.3602,2.7
0.939,1.0017,-0.7557,-2.5574,2.849
0.944,1.0767,-0.6376,-2.6318,2.914
0.964,1.2409,-0.5537,-2.5932,2.928
0.965,1.4276,-0.5067,-2.5513,2.967
0.966,1.5585,-0.5301,-2.5612,3.045
0.966,1.6423,-0.6072,-2.5511,3.094
0.966,1.5924,-0.7166,-2.3371,2.917
0.969,1.2788,-0.9168,-1.8761,2.449
0.975,1.2277,-1.0058,-1.5984,2.253
0.979,1.4012,-0.9596,-1.2929,2.134
0.983,1.5061,-1.0548,-0.9731,2.08
0.988,1.5827,-1.2146,-0.8659,2.175
0.993,1.6061,-1.4251,-1.0575,2.394
0.998,1.4925,-1.6922,-1.4882,2.703
1.004,1.3685,-1.8402,-1.7353,2.876
1.008,1.2781,-1.9552,-1.6459,2.858
1.016,1.1399,-2.0603,-1.3353,2.707
1.018,0.8227,-2.1061,-1.03,2.485
1.023,0.276,-2.126,-0.7441,2.269
1.027,-0.3669,-2.0651,-0.346,2.126
1.043,-0.8248,-1.9807,0.2863,2.165
1.044,-0.9132,-1.9056,0.8092,2.263
1.045,-0.8851,-1.8605,1.2569,2.413
1.075,-0.8491,-1.8568,1.8812,2.776
1.075,-0.9735,-1.895,2.5816,3.347
1.076,-1.2899,-1.7567,3.1122,3.799
1.077,-1.5138,-1.3971,3.375,3.954
1.077,-1.5936,-1.0263,3.5157,3.994
1.078,-1.6573,-0.7859,3.5311,3.979
1.078,-1.5916,-0.656,3.5285,3.926
1.081,-1.0976,-0.645,3.1104,3.361
1.085,-0.6854,-0.6872,2.5543,2.732
1.091,-0.5171,-0.7518,2.1081,2.297
1.096,-0.5958,-0.7729,1.8575,2.098
1.101,-1.0932,-0.6537,1.9339,2.316
1.105,-1.5551,-0.4761,2.4519,2.942
1.11,-1.4835,-0.1636,2.9,3.262
