timeE,axE,ayE,azE,aTE
9.874,0.4833,-1.7087,-0.3741,1.815
9.879,0.3925,-1.7744,-0.4497,1.872
9.883,0.2637,-1.7115,-0.4553,1.791
9.891,0.1636,-1.6231,-0.6467,1.755
9.897,-0.1069,-1.4992,-0.7748,1.691
9.899,-0.4225,-1.2177,-0.5919,1.418
9.903,-0.7441,-0.8481,-0.0566,1.13
9.91,-0.8767,-0.4434,0.6043,1.153
9.914,-0.7422,-0.0589,1.1499,1.37
9.916,-0.5964,0.3128,1.5968,1.733
9.923,-0.3352,0.5309,1.8826,1.985
9.927,-0.0289,0.6197,1.9034,2.002
9.932,0.2755,0.5272,1.7155,1.816
9.938,0.5975,0.402,1.5157,1.678
9.944,0.8123,0.3617,1.4612,1.71
9.948,0.7533,0.3992,1.6804,1.884
9.95,0.2218,0.4449,1.8748,1.94
9.958,0.2875,0.8902,2.1769,2.369
9.962,-0.0558,1.3877,2.3506,2.73
9.968,-0.1108,1.894,2.5113,3.147
9.973,-0.0449,2.4091,2.3845,3.39
9.977,-0.3237,2.6248,1.8173,3.209
9.982,-0.7124,2.403,1.078,2.728
9.987,-1.0015,1.9496,0.475,2.243
9.991,-1.2559,1.3724,-0.0069,1.86
9.998,-1.5123,0.8007,-0.2415,1.728
10.004,-1.4966,0.3156,-0.3202,1.563
10.007,-1.2841,-0.1238,-0.5035,1.385
10.009,-1.1997,-0.5175,-0.6574,1.463
10.016,-1.1333,-0.7318,-0.6603,1.502
10.019,-1.08,-0.6758,-0.3623,1.325
10.024,-1.0116,-0.3573,0.1262,1.08
10.029,-0.9644,0.0465,0.1624,0.979
10.033,-1.191,0.3993,-0.002,1.256
10.039,-1.6049,0.4433,0.1109,1.669
10.051,-1.7355,0.5182,0.232,1.826
10.054,-2.9321,0.2417,1.538,3.32
10.063,-0.8254,0.7493,0.5236,1.232
10.066,1.93,1.5739,-1.9877,3.186
10.069,1.0173,1.0877,-1.8793,2.398
10.071,-0.5731,1.2,-1.0589,1.7
10.074,-1.5924,1.1453,-0.6717,2.073
10.077,-1.7172,0.7896,-0.3116,1.916
10.084,-1.637,0.2761,0.3698,1.701
10.086,-1.4081,-0.1274,1.2195,1.867
10.093,-0.4832,-0.223,1.3342,1.436
10.097,0.7784,-0.1107,-0.3723,0.87
10.102,0.6033,-0.1775,-1.456,1.586
10.108,-0.0485,-0.1003,-1.6389,1.643
10.111,-0.4524,-0.0444,-1.8841,1.938
10.117,-0.7439,-0.2059,-1.4515,1.644
10.123,-0.2725,-0.4843,-1.1249,1.255
10.126,0.0991,-0.9009,-0.4483,1.011
10.129,0.3749,-1.2623,0.2337,1.337
10.137,1.2491,-1.5114,0.2472,1.976
10.142,2.3674,-1.7487,-0.4899,2.984
10.146,3.2716,-1.9476,-2.1507,4.373
10.149,2.1854,-1.9922,-1.3977,3.271
10.155,0.7667,-1.5362,1.1727,2.079
10.158,0.139,-1.554,3.9177,4.217
10.165,-0.5227,-2.5955,6.988,7.473
10.169,-0.5978,-3.5603,7.5522,8.371
10.174,-1.5689,-4.1095,4.6099,6.372
10.179,-0.7291,-3.9117,2.8886,4.917
10.183,0.3368,-2.6953,-0.0113,2.716
10.189,0.5014,-1.1637,-3.788,3.994
10.193,0.2082,0.357,-8.0427,8.053
10.198,-0.278,2.0052,-9.4597,9.674
10.21,-0.3696,3.2989,-6.5476,7.341
10.214,0.0505,4.0681,-2.9056,4.999
10.22,0.1644,4.3216,-0.1011,4.326
10.223,-0.1575,3.8677,2.1647,4.435
10.227,-0.5849,3.1032,3.7054,4.869
10.231,-0.836,2.3199,4.1625,4.838
10.232,-0.8118,1.6064,3.3585,3.81
10.236,-0.6675,1.0128,1.5862,1.997
10.24,-0.4493,0.5846,-0.2352,0.774
10.245,-0.1848,0.2454,-1.4432,1.476
10.25,0.115,-0.1412,-1.8471,1.856
10.255,0.3262,-0.5321,-1.4092,1.541
10.26,0.5563,-0.834,-0.618,1.178
10.264,0.6095,-0.9946,0.0287,1.167
10.269,0.4881,-0.9684,0.2251,1.108
10.274,0.2278,-0.9017,0.1628,0.944
10.279,-0.1282,-0.8949,-0.1365,0.914
10.284,-0.4505,-0.8688,-0.4717,1.086
10.288,-0.6748,-0.8763,-0.6204,1.268
10.293,-0.7728,-0.8933,-0.5304,1.295
10.299,-0.8213,-0.908,-0.4744,1.313
10.305,-0.7684,-0.8726,-0.462,1.251
10.308,-0.693,-0.8397,-0.5146,1.204
10.312,-0.6836,-0.8143,-0.7421,1.297
10.318,-0.771,-0.7913,-0.9864,1.481
10.325,-0.8477,-0.7136,-1.1426,1.592
10.327,-0.9305,-0.5834,-1.3041,1.705
10.338,-1.0052,-0.3937,-1.4258,1.788
10.339,-1.0576,-0.1852,-1.4793,1.828
10.346,-1.0879,-0.0248,-1.3907,1.766
10.347,-1.0769,0.169,-1.2154,1.633
10.353,-1.3733,-0.309,-0.6854,1.566
10.356,-1.5394,-0.5381,-0.3902,1.677
10.365,-1.7123,-0.4253,0.1118,1.768
10.366,-4.2673,0.2151,6.1801,7.513
10.375,-4.0162,1.1471,4.5044,6.143
10.376,-4.2725,0.6974,8.7275,9.742
10.384,-4.3465,0.8144,8.6435,9.709
10.388,-2.6189,1.0471,4.006,4.899
10.392,-0.4332,1.2763,-4.1748,4.387
10.397,1.1683,1.3288,-6.4875,6.724
10.402,2.4814,1.4875,-3.8181,4.79
10.407,3.3551,1.5317,-1.8687,4.135
10.413,3.9729,1.1553,-2.0337,4.61
10.416,3.9683,1.0898,-1.2944,4.314
10.422,3.7221,0.814,-0.8265,3.899
10.426,3.2758,0.2126,-0.2237,3.29
10.43,2.9345,-0.1939,0.4393,2.974
10.435,2.3732,-0.6282,0.1993,2.463
10.441,1.8832,-0.8037,-0.1939,2.057
10.443,1.3529,-0.7185,-0.4935,1.609
10.45,0.8444,-0.6145,-0.4461,1.136
10.455,0.3767,-0.5565,-0.368,0.766
10.461,-0.0269,-0.3412,-0.0331,0.344
10.464,-0.2273,-0.1552,0.1658,0.321
10.469,-0.3859,-0.0606,0.0036,0.391
10.478,-0.4568,-0.1314,0.0835,0.483
10.479,-0.296,-0.31,-0.3572,0.558
10.484,-0.2063,-0.3953,-1.1685,1.251
10.489,-0.2898,-0.2099,-3.5751,3.593
10.493,-0.0507,-0.1791,-1.1709,1.186
10.499,0.2371,-0.2223,3.5805,3.595
10.503,-0.4691,0.1014,2.6407,2.684
10.509,-1.6501,0.4215,-0.7932,1.879
10.513,-0.8045,0.0716,-1.0785,1.347
10.518,-0.2546,-0.3495,-0.92,1.017
10.523,-0.2841,-0.4211,-0.1108,0.52
10.528,-0.4918,-0.273,0.8327,1.005
10.533,-0.5677,-0.0753,1.3994,1.512
10.539,-0.7015,0.0093,1.6741,1.815
10.545,-0.1575,0.4611,2.2286,2.281
10.548,-0.5479,0.7063,1.6841,1.907
10.553,-0.7504,0.8409,1.4411,1.829
10.56,-0.87,0.7817,1.2311,1.698
10.564,-0.9526,0.6533,1.2183,1.679
10.567,-1.1155,0.7879,1.3806,1.942
10.57,-1.2516,0.9464,1.6286,2.262
10.582,-1.4334,1.1476,1.7976,2.57
10.585,-1.5615,1.2768,1.8613,2.745
10.587,-1.5724,1.2335,1.8153,2.7
10.591,-1.4114,0.9509,1.7223,2.421
10.595,-1.239,0.6777,1.604,2.137
10.6,-1.06,0.4499,1.3724,1.791
10.605,-0.8411,0.3916,1.1941,1.512
10.611,-0.6656,0.51,1.114,1.394
10.615,-0.5039,0.6353,0.8834,1.199
10.621,-0.4078,0.7414,0.5575,1.013
10.626,-0.2738,0.8331,0.1503,0.89
10.631,-0.1921,0.8198,-0.3908,0.928
10.634,-0.2916,0.8187,-0.7868,1.172
10.641,-0.4721,0.7582,-0.9971,1.339
10.646,-0.5071,0.5833,-1.0007,1.264
10.65,-0.4375,0.3252,-0.8242,0.988
10.656,-0.1869,0.0175,-0.6282,0.656
10.659,0.2808,-0.4497,-0.6918,0.872
10.664,0.7441,-0.9447,-0.8163,1.453
10.669,1.0296,-1.3192,-0.975,1.937
10.674,1.1261,-1.5996,-1.0199,2.206
10.681,0.8377,-1.743,-0.7671,2.08
10.684,1.34,-1.893,-0.9531,2.508
10.691,1.7006,-1.9779,-0.9566,2.778
10.694,1.7051,-1.9999,-0.9741,2.803
10.697,1.4618,-2.0212,-1.1513,2.747
10.704,1.4861,-1.9585,-1.2631,2.764
10.706,1.2821,-1.8692,-1.1755,2.553
10.715,1.0653,-1.7773,-1.0323,2.315
10.716,0.8788,-1.8476,-1.015,2.284
10.72,0.7365,-1.9701,-1.0637,2.357
10.725,8.3768,-0.1139,-1.1111,8.451
10.733,8.985,-4.9459,-3.5255,10.845
10.734,5.7073,-5.469,-0.5922,7.927
10.741,3.0157,-2.5736,0.5267,3.999
10.745,-2.7818,2.818,1.3989,4.2
10.751,-3.4475,3.1223,0.512,4.679
10.756,0.048,-0.4196,-3.0695,3.098
10.761,-1.5446,-1.624,-0.4346,2.283
10.765,-6.6597,-0.9224,1.0691,6.808
10.77,-4.981,0.3131,0.5291,5.019
10.778,-4.8284,-0.3259,-0.7695,4.9
10.78,4.7975,1.7695,-1.2063,5.254
10.784,-4.5661,-3.3728,-1.3891,5.844
10.788,-2.4275,2.5892,2.5623,4.377
10.795,-0.9675,2.0775,-1.1623,2.57
10.798,-2.0504,0.6759,-0.7179,2.275
10.802,-2.8532,1.1138,0.1623,3.067
10.808,-3.2183,1.3243,-0.0302,3.48
10.814,-3.4455,1.5274,-0.1976,3.774
10.819,-3.3721,1.6371,-0.3854,3.768
10.826,-3.1377,1.5532,-0.5455,3.543
10.838,-2.851,1.3522,-0.5919,3.21
10.84,-2.577,1.0653,-0.5106,2.835
10.841,-2.1696,0.7716,-0.4094,2.339
10.844,-1.4368,0.507,-0.4413,1.586
10.847,14.1079,-0.1198,-1.8196,14.225
10.85,6.4344,-6.4659,-2.022,9.343
10.854,5.6809,-2.6181,1.6505,6.469
10.859,6.2104,0.6871,0.9404,6.319
10.864,5.8763,1.1239,-0.6319,6.016
10.87,2.322,1.7127,-0.0921,2.887
10.875,-6.678,2.6919,0.4173,7.212
10.881,-0.0292,7.1904,3.1638,7.856
10.884,-2.9918,-2.0873,-4.441,5.747
10.894,-2.1817,-6.5145,-1.0367,6.948
10.896,-2.0274,-3.825,1.3958,4.549
10.901,-0.0894,-0.3651,0.7681,0.855
10.905,1.9455,1.3054,-0.4901,2.394
10.915,1.3917,0.9124,-0.7369,1.82
10.917,2.1004,0.4394,-0.2551,2.161
10.922,10.3922,-1.3874,-1.3796,10.575
10.924,-1.9665,-4.7253,-1.422,5.312
10.931,1.8209,1.5283,2.2837,3.296
10.936,4.5263,2.8844,1.4217,5.552
10.94,-1.1581,-1.3384,-1.6218,2.401
10.945,-2.1909,1.8791,1.5915,3.296
10.951,-2.8764,3.4369,3.075,5.435
10.954,-6.6192,-3.7475,-4.3461,8.761
10.963,-4.7633,1.6273,3.1156,5.92
10.966,-0.5707,-0.4491,-1.7,1.849
10.97,-1.94,-0.483,-0.058,2
10.973,6.4664,2.3848,0.8753,6.948
10.978,-5.9695,-2.6096,-2.963,7.157
10.981,-3.7029,5.5023,4.1299,7.813
10.987,-2.3766,1.3124,-1.4923,3.098
10.992,-2.7265,-1.1899,0.4187,3.004
10.997,-1.4618,-0.9769,0.095,1.761
11.002,-0.6458,0.5525,0.4686,0.971
11.006,1.4701,1.1793,-0.2663,1.903
11.011,1.8062,1.18,-0.0039,2.157
11.016,2.0957,0.7538,0.0191,2.227
11.021,1.3753,0.1039,0.1566,1.388
11.026,1.4168,0.1291,0.3327,1.461
11.031,1.2595,0.0683,0.3438,1.307
11.035,1.9132,0.1386,0.4673,1.974
11.041,2.7664,-0.2192,0.3421,2.796
11.048,3.3268,-0.3208,0.4965,3.379
11.049,3.4517,-0.2285,0.4984,3.495
11.055,3.1237,-0.1337,0.4368,3.157
11.058,2.6418,-0.1226,0.3958,2.674
11.064,2.1082,-0.2213,0.4254,2.162
11.069,1.5463,-0.3104,0.4297,1.635
11.074,1.0795,-0.4041,0.2822,1.187
11.078,0.5351,-0.438,0.1044,0.699
11.083,0.0155,-0.3453,0.0253,0.347
11.091,-0.5086,-0.1835,-0.051,0.543
11.093,-1.0064,0.0234,-0.0768,1.01
11.098,-1.4807,0.2324,-0.1026,1.502
11.101,-1.9059,0.4171,-0.1263,1.955
11.107,-2.1632,0.6014,-0.3012,2.265
11.113,-2.1767,0.6467,-0.5103,2.327
11.117,-2.0254,0.6083,-0.7992,2.261
11.122,-1.7926,0.5533,-1.1251,2.188
11.127,-1.6379,0.4508,-1.156,2.055
11.131,-1.5462,0.301,-1.1,1.921
11.136,-1.5766,0.0537,-0.682,1.719
11.14,-1.6667,-0.2194,-0.1409,1.687
11.146,-1.7045,-0.4133,0.163,1.761
11.152,-1.6884,-0.4208,0.1678,1.748
11.157,-1.5042,-0.3878,0.1368,1.559
11.162,-1.1452,-0.3672,0.2401,1.226
11.167,-0.6469,-0.3541,0.5134,0.899
11.171,-0.205,-0.3581,1.019,1.099
11.178,0.0783,-0.3911,1.5467,1.597
11.182,0.3353,-0.477,1.8197,1.911
11.19,0.5755,-0.4724,1.7762,1.926
11.192,0.8568,-0.3629,1.4307,1.707
11.197,1.1294,-0.1843,0.8956,1.453
11.201,1.349,0.0563,0.6917,1.517
11.205,1.2485,0.3112,0.7107,1.47
11.212,0.9218,0.5113,0.7156,1.274
11.217,0.4401,0.6158,0.6203,0.979
11.222,0.0156,0.6513,0.525,0.837
11.225,-0.374,0.6606,0.5536,0.94
11.23,-0.6962,0.5913,0.5243,1.053
11.233,-0.8845,0.4933,0.4208,1.097
11.237,-0.8867,0.3764,0.102,0.969
11.241,-0.7724,0.255,-0.0619,0.816
11.247,-0.551,0.1819,-0.2865,0.647
11.252,-0.3494,0.1165,-0.5604,0.671
11.257,-0.2154,0.1306,-0.8553,0.892
11.262,-0.1538,0.131,-1.0856,1.104
11.267,-0.184,0.0675,-1.0719,1.09
11.272,-0.2562,-0.1007,-0.8882,0.93
11.278,-0.3085,-0.3307,-0.6126,0.761
11.283,9.5474,0.8959,1.3253,9.68
11.289,5.8084,-4.7969,-1.9481,7.781
11.291,3.8387,-2.586,-0.5035,4.656
11.297,4.3694,-0.1476,-1.5318,4.632
11.302,4.1141,0.9468,-1.9666,4.657
11.307,0.5635,1.6202,-0.8149,1.899
11.311,-4.4601,3.1071,2.1221,5.835
11.316,-1.8791,3.9624,3.4146,5.558
11.321,-3.9042,-2.2864,-1.187,4.678
11.326,-8.4953,-3.5799,0.7123,9.246
11.33,-3.6227,1.4203,3.9787,5.565
11.334,-4.177,-3.8933,-5.1298,7.676
11.338,2.4303,-0.2693,-0.1181,2.448
11.344,-1.2676,0.7769,3.5592,3.857
11.349,-0.9077,-0.9411,-2.3467,2.686
11.354,-3.1375,-1.0921,0.8335,3.425
11.359,-1.0012,2.5726,3.8182,4.712
11.364,-2.7976,-0.2713,1.2562,3.079
11.368,-8.5504,-0.6368,2.3481,8.89
11.374,-5.3044,1.7997,3.0977,6.401
11.379,-4.1558,-1.2225,-0.3143,4.343
11.383,3.4711,0.9044,1.25,3.799
11.388,2.8794,-3.0092,-3.6497,5.538
11.393,2.7354,-0.4676,-1.1926,3.021
11.398,-5.0261,-0.1403,1.2131,5.172
11.404,-0.5714,4.6559,4.5353,6.525
11.408,-1.0059,-2.1005,-0.3234,2.351
11.412,5.3251,-1.2119,0.3503,5.472
11.417,3.6818,-0.8611,1.0419,3.922
11.422,-1.5027,0.7269,0.2811,1.693
11.427,7.0302,3.3037,0.5303,7.786
11.432,-1.8531,-1.8759,-0.6702,2.721
11.437,-0.0423,2.4701,2.5827,3.574
11.444,-0.5187,-0.2549,0.0653,0.582
11.446,7.608,0.5747,-0.4686,7.644
11.451,4.1414,-2.8453,-2.1227,5.455
11.457,3.5862,-0.0276,0.1907,3.591
11.461,1.3674,2.4963,2.3418,3.686
11.466,-0.289,2.7143,1.4944,3.112
11.473,-0.4779,-0.0113,-1.4025,1.482
11.475,-2.7902,0.812,2.9562,4.145
11.48,-1.3143,-0.603,-0.0782,1.448
11.485,1.4726,-0.1124,0.4938,1.557
11.494,3.1115,-2.6541,-3.89,5.644
11.497,3.2787,0.2186,0.7276,3.366
11.502,2.7757,1.4791,-0.1292,3.148
11.506,-0.0587,0.4219,-1.2885,1.357
11.511,-1.9778,3.4356,3.1054,5.036
11.516,-0.5379,1.8348,-0.357,1.945
11.522,-1.1765,0.5061,0.6051,1.416
11.527,4.0014,1.7528,1.6226,4.66
11.53,3.5331,-1.4128,-2.9743,4.83
11.536,1.9739,0.4777,-0.9823,2.256
11.541,0.9415,1.6225,-2.3685,3.021
11.546,-2.4144,5.7316,1.7995,6.474
11.551,-0.648,4.1323,-2.5874,4.918
11.555,3.2647,-0.2738,-3.2498,4.615
11.56,-5.6001,1.3979,1.3462,5.927
11.565,7.5338,3.8861,-2.569,8.858
11.57,3.7251,-3.8065,-4.4216,6.922
11.576,2.0257,-1.9819,-0.6863,2.916
11.578,1.1363,0.1598,-2.467,2.721
11.584,-3.4406,1.0047,-4.1558,5.488
11.59,0.5389,6.1407,1.3463,6.31
11.593,-3.8434,-1.9928,-3.4604,5.542
11.6,-4.7387,-2.6855,0.3262,5.457
11.603,-3.837,-3.6764,-1.3572,5.485
11.609,6.5109,-5.6178,-0.8561,8.642
11.613,1.7157,-7.0334,-0.3525,7.248
11.618,0.7513,-4.0368,-0.0819,4.107
11.623,-0.5446,-0.7256,0.3202,0.962
11.629,-0.8271,1.5809,1.6478,2.429
11.643,-3.9721,-0.872,0.9275,4.171
11.646,-2.5001,-1.8559,3.9982,5.068
11.649,-1.1393,-3.2599,2.2472,4.12
11.652,-2.2436,-2.6396,1.3506,3.718
11.654,-2.0219,-0.51,0.6542,2.185
11.658,-0.2681,1.2212,1.814,2.203
11.661,-3.1672,0.1453,1.9883,3.742
11.666,-3.0736,0.3986,2.7294,4.13
11.67,-0.399,0.9032,3.9168,4.039
11.674,-1.4794,-1.3282,0.9228,2.192
11.679,-0.5778,-2.1467,0.8971,2.397
11.684,-1.7816,-2.9749,0.4377,3.495
11.689,-5.2695,-3.4071,0.0608,6.275
11.694,-6.7469,-2.8511,-0.6887,7.357
11.698,-4.2658,-0.3329,1.1927,4.442
11.703,-5.4375,-3.3489,-0.4042,6.399
11.709,-3.3879,-4.0733,-1.295,5.454
11.713,-5.1839,-5.1294,-2.2435,7.63
11.718,-2.6186,-3.6445,-1.7015,4.799
11.723,-4.5873,-4.1777,-2.3084,6.62
11.728,-3.7195,-3.6641,-1.6092,5.464
11.732,9.3738,0.0556,0.7186,9.401
11.737,4.9322,-3.6528,-1.6734,6.362
11.742,-0.9583,-3.4516,1.3032,3.812
11.747,-1.7879,-1.9979,3.2463,4.21
11.753,1.559,0.0977,1.7839,2.371
11.756,1.7967,0.9827,-1.1432,2.345
11.763,-1.0988,1.3776,-0.4193,1.811
11.766,1.4194,2.2726,-0.0163,2.68
11.772,1.5285,2.3937,-0.3743,2.865
11.776,-1.9128,1.5145,-0.0116,2.44
11.782,-2.4561,2.6651,1.7282,4.015
11.785,1.0236,3.9661,1.5634,4.384
11.793,0.7401,3.7033,0.8407,3.869
11.795,0.8291,4.2543,0.9281,4.433
11.802,1.2427,4.1148,0.8201,4.376
11.805,1.1189,3.5434,0.4455,3.742
11.812,0.664,3.146,0.2672,3.226
11.817,0.4405,3.0945,0.0175,3.126
11.821,0.1608,3.101,-0.4128,3.133
11.826,-0.1814,3.1916,-0.6917,3.271
11.832,-0.2748,3.1555,-0.6767,3.239
11.837,-0.1931,2.7228,-0.7272,2.825
11.841,-0.3007,2.1254,-0.9655,2.354
11.847,-0.0141,1.6647,-1.257,2.086
11.851,0.1062,1.3092,-1.5253,2.013
11.856,0.1086,1.1475,-1.4124,1.823
11.861,-0.0196,0.9903,-0.9095,1.345
11.865,-0.1328,0.8902,-0.4118,0.99
11.874,0.0863,0.7035,-0.1388,0.722
11.876,0.568,0.4231,-0.0062,0.708
11.88,1.0807,0.1853,0.0484,1.097
11.884,1.4431,0.0547,0.0067,1.444
11.888,1.6664,0.0169,-0.0421,1.667
11.894,1.7058,-0.0118,-0.112,1.71
11.899,1.5954,0.0212,-0.0736,1.597
11.903,1.5026,0.013,0.1326,1.508
11.908,1.6111,0.0116,0.4751,1.68
11.915,1.8774,0.0622,0.8055,2.044
11.92,2.177,0.2508,0.8802,2.362
11.923,2.3692,0.3718,0.6782,2.492
11.93,2.4648,0.3585,0.3269,2.512
11.933,2.5277,0.3403,0.0349,2.551
11.939,2.5667,0.3366,-0.1999,2.596
11.942,2.5867,0.1943,-0.4275,2.629
11.949,2.5494,-0.0625,-0.5859,2.617
11.952,2.5143,-0.331,-0.7015,2.631
11.958,2.5199,-0.5226,-0.9083,2.729
11.964,2.5229,-0.6494,-1.1897,2.864
11.968,2.8407,-0.6088,-1.3974,3.224
11.973,2.4907,-0.8669,-1.618,3.094
11.977,1.939,-0.7708,-1.5235,2.584
11.983,1.728,-0.7224,-1.3035,2.282
11.988,1.6388,-0.877,-1.2595,2.245
11.991,1.4565,-0.9715,-1.4081,2.247
11.997,0.9616,-0.8241,-1.5534,2.004
12.001,0.3884,-0.4495,-1.4256,1.544
12.005,-0.1491,-0.056,-1.1901,1.201
12.012,-0.47,0.3015,-0.8143,0.987
12.016,-0.4646,0.5251,-0.3969,0.806
12.021,-0.074,0.701,-0.0241,0.705
12.027,0.4434,0.798,0.1165,0.92
12.031,0.8684,0.7325,0.0641,1.138
12.036,0.9772,0.6076,-0.114,1.156
12.039,0.837,0.5405,-0.3652,1.061
12.048,0.5764,0.5047,-0.6034,0.975
12.059,0.3164,0.3973,-0.7718,0.924
12.061,0.0806,0.2662,-0.7656,0.815
12.063,-0.0766,0.1163,-0.5926,0.609
12.064,-0.1434,0.1459,-0.4109,0.459
12.07,-0.1179,0.2757,-0.23,0.378
12.073,-0.0289,0.4842,-0.1549,0.509
12.084,0.0493,0.7402,-0.1452,0.756
12.086,0.05,0.9554,-0.3041,1.004
12.088,-0.1151,1.2445,-0.5169,1.353
12.092,-0.4337,1.5861,-0.6233,1.759
12.098,-0.6767,1.8055,-0.7266,2.06
12.102,-0.8035,1.7594,-0.6401,2.037
12.107,-0.7789,1.5819,-0.1827,1.773
12.112,-0.5651,1.4476,0.3131,1.585
12.117,-0.2677,1.3061,0.6851,1.499
12.122,0.1057,1.0687,0.8075,1.344
12.126,0.3955,0.7618,0.6861,1.099
12.131,0.5474,0.4549,0.4627,0.849
12.136,0.6314,0.1241,0.2191,0.68
12.14,0.7866,-0.0849,0.0249,0.792
12.147,0.9343,-0.2102,-0.1056,0.963
12.15,1.0102,-0.2664,-0.1078,1.05
12.156,0.9451,-0.2797,-0.0372,0.986
12.16,0.6868,-0.1593,0.032,0.706
12.165,0.4048,-0.1253,0.119,0.44
12.17,0.0629,-0.0847,0.0853,0.136
12.174,-0.2029,-0.1759,-0.0428,0.272
12.18,-0.3907,-0.2842,-0.1794,0.515
12.184,-0.5865,-0.376,-0.332,0.772
12.19,-0.7092,-0.3772,-0.3883,0.892
12.194,-0.8307,-0.2927,-0.406,0.97
12.198,-0.815,-0.1967,-0.3401,0.905
12.203,-0.667,-0.1632,-0.1956,0.714
12.209,-0.4562,-0.1301,-0.135,0.493
12.214,0.0852,0.3305,0.4801,0.589
12.22,0.2663,0.1761,-0.1959,0.375
12.226,0.2708,-0.1143,-0.9566,1.001
12.228,0.0136,-0.5905,-1.2261,1.361
12.234,-0.2562,-0.834,-0.8356,1.208
12.238,-0.3003,-0.807,-0.1179,0.869
12.242,-0.0982,-0.7035,0.3412,0.788
12.247,0.082,-0.6218,0.3365,0.712
12.253,0.1741,-0.5568,0.1241,0.596
12.256,0.1647,-0.4175,-0.0642,0.453
12.263,0.157,-0.1369,0.142,0.252
12.267,0.1888,0.1555,0.5227,0.577
12.271,0.2643,0.3951,0.8029,0.933
12.277,0.3738,0.4575,0.8112,1.004
12.282,0.2956,0.3503,0.653,0.798
12.287,-0.0865,0.2507,0.6684,0.719
12.291,-0.4142,0.1536,0.4914,0.661
12.296,-0.6477,-0.0054,0.033,0.649
12.304,-0.835,-0.1258,-0.3939,0.932
12.306,-0.8922,-0.1788,-0.6199,1.101
12.31,-0.8794,-0.1814,-0.7744,1.186
12.315,-0.8918,-0.2577,-1.0319,1.388
12.32,-1.008,-0.3789,-1.3754,1.747
12.327,-1.065,-0.5281,-1.5233,1.932
12.329,-1.2991,-0.4231,-1.29,1.879
12.334,-1.5015,-0.3227,-0.7819,1.723
12.339,-1.5737,-0.2868,-0.2334,1.617
12.344,-1.4061,-0.3107,0.2123,1.456
12.349,-1.0683,-0.3659,0.4933,1.232
12.354,-1.0982,-0.5333,0.2896,1.255
12.359,-0.9829,-0.5237,0.2714,1.146
12.367,-1.088,-0.5762,-0.0077,1.231
12.369,2.6348,0.5423,3.6825,4.56
12.374,0.8129,-2.0311,2.5624,3.369
12.378,-0.933,-1.6351,1.3182,2.298
12.383,-5.3962,-1.0674,-4.6429,7.198
12.389,0.5205,0.3653,-0.901,1.103
12.393,-2.2519,-0.7385,-3.1141,3.913
12.4,-1.1004,0.1371,-1.1097,1.569
12.402,-1.2722,-0.042,0.1292,1.279
12.408,-1.1436,0.296,0.9099,1.491
12.411,-0.8186,0.3493,1.2813,1.56
12.418,-0.8503,0.1156,1.1368,1.424
12.422,-0.5378,-0.1536,0.8227,0.995
12.427,1.0575,0.3661,1.5083,1.878
12.431,1.3049,-1.5954,1.9509,2.838
12.437,-1.8312,-1.1521,-0.6812,2.268
12.441,1.2888,0.3521,1.1618,1.771
12.446,-0.2771,-0.0178,-1.0405,1.077
12.451,0.0219,0.0459,-0.902,0.903
12.456,1.4692,-0.3136,0.9339,1.769
12.46,0.548,-0.9908,1.4565,1.845
12.467,-1.5009,-0.8063,-0.5769,1.799
12.469,-0.2942,0.021,-0.6085,0.676
12.476,-1.4044,-0.3911,-2.0415,2.509
12.48,0.3387,-0.0159,0.1577,0.374
12.486,0.0423,-0.21,1.5217,1.537
12.49,-3.4582,-1.4577,-1.125,3.918
12.497,-1.6499,0.4402,0.6155,1.815
12.501,-0.6197,-0.156,0.5331,0.832
12.505,-2.2295,-1.3406,-0.4898,2.647
12.508,-2.7405,-0.7901,0.3893,2.879
12.513,-2.4648,-0.1852,-0.0044,2.472
12.519,-2.4227,0.2372,-1.0937,2.669
12.522,-1.2348,-0.2115,-0.7547,1.463
12.527,-1.1221,-0.454,-0.0868,1.214
12.535,0.2552,-0.5552,1.689,1.796
12.538,-1.5953,-0.3671,0.6151,1.749
12.542,0.1701,0.2509,1.1071,1.148
12.548,0.1324,-0.0885,-0.1447,0.215
12.553,0.1124,-0.0633,-0.2469,0.279
12.558,-0.0766,-0.0804,-0.161,0.196
12.563,3.0994,0.0405,3.077,4.368
12.568,-1.0371,-1.4817,0.7838,1.971
12.572,-2.5732,0.1742,0.2428,2.591
12.577,0.5435,0.8114,0.2697,1.013
12.582,-0.323,-0.3653,-1.7189,1.787
12.587,-0.1795,0.0052,-0.3043,0.353
12.592,-0.3537,0.2227,-0.1533,0.445
12.596,-0.5959,0.2721,-0.7038,0.961
12.601,-0.9173,0.4385,-1.0714,1.477
12.609,-0.6159,0.4684,-1.418,1.615
12.61,-0.3407,0.4747,-1.4713,1.583
12.62,-0.2991,0.362,-0.7919,0.921
12.621,-0.1086,0.2278,0.3197,0.407
12.629,0.3249,0.1076,1.3545,1.397
12.631,1.3649,0.2858,2.3281,2.714
12.639,1.6563,0.0958,2.2243,2.775
12.641,0.9138,0.1022,0.3841,0.997
12.646,0.2548,-0.0415,-0.557,0.614
12.652,0.0234,-0.2158,-0.201,0.296
12.654,-0.0059,-0.0866,0.6885,0.694
