time,ax,ay,az,aT
0.008,-0.2065,0.4544,-0.778,0.924
0.008,-0.0211,0.4616,-0.3758,0.596
0.008,0.1289,0.437,-0.0226,0.456
0.008,0.2609,0.3511,0.2584,0.508
0.011,0.3801,0.2413,0.4321,0.624
0.017,0.4535,0.1859,0.5303,0.722
0.022,0.4116,0.1987,0.5651,0.727
0.032,0.3383,0.1866,0.5343,0.659
0.033,0.2548,0.1444,0.4667,0.551
0.035,0.1845,0.1056,0.2523,0.33
0.041,0.1076,0.0899,-0.0183,0.141
0.045,-0.0428,0.1598,-0.3384,0.377
0.051,-0.5532,0.2062,-0.6246,0.859
0.055,-0.2823,0.2557,-0.9368,1.011
0.06,-0.0172,0.3042,-0.9264,0.975
0.064,-0.0529,0.2593,-0.8454,0.886
0.07,0.1547,0.0999,-0.6872,0.711
0.079,0.3012,0.1126,-0.4468,0.55
0.08,0.5359,0.3539,-0.229,0.682
0.084,0.3964,0.2872,0.0794,0.496
0.089,-0.1166,0.1093,0.2952,0.336
0.094,-0.5071,-0.0316,0.2675,0.574
0.099,-0.6999,-0.0992,0.0772,0.711
0.103,-0.6592,-0.0639,-0.0487,0.664
0.109,-0.4971,-0.0335,0.0785,0.504
0.113,-0.2972,-0.0541,0.3921,0.495
0.119,-0.186,-0.1722,0.6558,0.703
0.122,-0.1079,-0.2881,0.8202,0.876
0.128,-0.0429,-0.3834,0.8786,0.96
0.133,0.012,-0.4026,0.917,1.002
0.137,0.0049,-0.3074,0.9618,1.01
0.143,-0.0616,-0.1576,0.9985,1.013
0.147,-0.1206,-0.0273,1.0534,1.061
0.152,-0.1409,-0.0099,1.0334,1.043
0.159,-0.1465,-0.0379,0.9527,0.965
0.163,-0.137,-0.0775,0.8087,0.824
0.166,-0.2389,-0.1375,0.7447,0.794
0.172,-0.3518,-0.1004,0.6026,0.705
0.177,-0.3635,-0.0279,0.3774,0.525
0.181,-0.401,0.064,0.3029,0.507
0.186,-0.563,0.1518,0.4073,0.711
0.195,-0.604,0.1851,0.5446,0.834
0.195,-0.5244,0.1733,0.6024,0.817
0.2,-0.415,0.1257,0.617,0.754
0.205,-0.3162,0.0996,0.5812,0.669
0.211,-0.2582,0.1143,0.4857,0.562
0.214,-0.262,0.146,0.3664,0.474
0.219,-0.2511,0.176,0.2231,0.379
0.226,-0.2759,0.2098,0.0768,0.355
0.229,-0.2678,0.2263,-0.0343,0.352
0.234,-0.2291,0.2471,-0.1082,0.354
0.239,-0.2242,0.2006,-0.1686,0.345
0.245,-0.0811,0.0894,-0.1297,0.177
0.249,0.1164,0.1072,-0.1779,0.238
0.253,0.0625,0.263,-0.1026,0.289
0.258,-0.0318,0.3103,-0.0472,0.316
0.263,0.0561,0.2803,-0.0857,0.298
0.268,0.1493,0.2232,-0.127,0.297
0.273,0.1691,0.1723,-0.109,0.265
