time,ax,ay,az,aT
0.626,0.0814,-0.0444,-0.2768,0.292
0.63,0.0204,-0.0452,-0.0689,0.085
0.636,-0.0326,-0.0627,0.06,0.093
0.64,-0.116,-0.0613,0.1792,0.222
0.645,-0.2925,-0.0077,0.2959,0.416
0.654,-0.1562,0.0025,0.274,0.315
0.661,-0.0007,-0.0306,0.1663,0.169
0.662,0.1124,-0.0306,0.004,0.117
0.675,0.1336,-0.0595,-0.1746,0.228
0.675,0.1209,-0.098,-0.25,0.294
0.676,0.1095,-0.144,-0.196,0.267
0.679,0.0626,-0.1665,-0.087,0.198
0.686,-0.0039,-0.1871,0.0173,0.188
0.689,-0.1094,-0.1916,0.0953,0.24
0.694,-0.1943,-0.1801,0.1662,0.313
0.7,-0.2254,-0.1907,0.1918,0.352
0.704,-0.2026,-0.2041,0.1625,0.33
0.708,-0.1116,-0.2297,0.1117,0.279
0.713,-0.0144,-0.2457,0.0419,0.25
0.719,0.0704,-0.2591,-0.0015,0.268
0.723,0.1191,-0.2841,-0.0427,0.311
0.727,0.17,-0.2777,-0.0911,0.338
0.734,0.1684,-0.2589,-0.1062,0.327
0.738,0.124,-0.2395,-0.1644,0.316
0.742,0.0441,-0.2053,-0.2323,0.313
0.747,-0.0565,-0.1895,-0.3122,0.37
0.753,-0.1085,-0.1635,-0.3445,0.397
0.757,-0.1642,-0.1537,-0.3363,0.405
0.762,-0.2094,-0.1171,-0.2017,0.313
0.775,-0.276,-0.0756,-0.0553,0.292
0.776,-0.3312,-0.0247,0.0071,0.332
0.777,-0.3678,0.0474,0.0719,0.378
0.784,-0.3785,0.0761,0.0197,0.387
0.797,-0.3584,0.0902,-0.0969,0.382
0.798,-0.3191,0.0847,-0.2705,0.427
0.798,-0.3197,0.0767,-0.5345,0.628
0.81,-0.2951,0.0973,-0.7191,0.783
0.811,-0.2449,0.1347,-0.8461,0.891
0.814,-0.284,0.1864,-0.9488,1.008
0.827,-0.3646,0.2118,-1.0705,1.151
0.827,-0.4032,0.2135,-1.1108,1.201
0.828,-0.4499,0.2206,-1.1487,1.253
0.83,-0.5435,0.2879,-1.1127,1.271
0.838,-0.6317,0.344,-1.0412,1.265
0.84,-0.6095,0.3408,-0.9651,1.191
0.845,-0.4934,0.2234,-0.8201,0.983
0.849,-0.3148,0.0491,-0.6227,0.699
0.855,-0.2272,-0.1463,-0.3707,0.459
0.858,-0.1455,-0.3249,-0.1191,0.375
0.863,-0.0508,-0.5012,0.0892,0.512
0.868,0.1096,-0.594,0.1683,0.627
0.874,0.274,-0.6325,0.1998,0.718
0.877,0.4313,-0.6858,0.2099,0.837
0.883,0.436,-0.6537,0.2633,0.829
0.892,0.2739,-0.5224,0.3529,0.687
0.892,0.1481,-0.433,0.4404,0.635
0.897,0.0918,-0.3903,0.5521,0.682
0.902,-0.0487,-0.3318,0.5994,0.687
0.906,-0.2397,-0.2309,0.5369,0.632
0.912,-0.2876,-0.1325,0.4028,0.512
0.916,-0.2495,-0.0453,0.3067,0.398
0.921,-0.2674,0.0764,0.2485,0.373
0.926,-0.2459,0.1853,0.1276,0.333
0.931,-0.2262,0.236,0.0013,0.327
0.936,-0.1865,0.181,-0.1017,0.279
0.941,-0.0759,0.0203,-0.2076,0.222
0.946,0.1208,-0.2052,-0.4024,0.468
0.952,0.3215,-0.3807,-0.6619,0.829
0.956,0.4659,-0.504,-0.8713,1.109
0.96,0.543,-0.544,-0.9444,1.218
0.966,0.5053,-0.5133,-0.8573,1.12
0.976,0.4216,-0.4941,-0.7152,0.966
0.98,0.277,-0.4633,-0.4582,0.708
0.981,0.0777,-0.4218,-0.1458,0.453
0.987,-0.1489,-0.3659,0.1121,0.411
0.989,-0.4008,-0.2147,0.2297,0.509
0.994,-0.5043,-0.0931,0.3125,0.601
0.999,-0.8064,0.2021,0.3246,0.892
1.004,-0.5427,0.2479,0.2731,0.656
1.008,-0.4782,0.2411,0.201,0.572
1.013,-0.4481,0.1652,0.1943,0.516
1.018,-0.4907,0.033,0.126,0.508
1.023,-0.5512,-0.0045,0.0962,0.56
1.027,-0.5893,0.0243,0.0356,0.591
1.033,-0.579,0.039,0.0082,0.58
1.037,-0.5925,0.0907,0.0233,0.6
1.042,-0.6348,0.1441,0.0661,0.654
1.047,-0.876,0.3047,0.2343,0.957
