time,ax,ay,az,aT
0.004,-0.9489,0.1219,-0.0419,0.958
0.005,-0.8959,0.1344,-0.0032,0.906
0.005,-0.824,0.1229,0.0593,0.835
0.007,-0.7166,0.1497,0.0738,0.736
0.011,-0.7049,0.1456,0.1051,0.727
0.02,-0.6935,0.0774,0.1408,0.712
0.021,-0.7161,-0.0118,0.2263,0.751
0.026,-0.7321,-0.1125,0.3258,0.809
0.03,-0.7681,-0.1771,0.444,0.905
0.035,-0.7763,-0.1608,0.55,0.965
0.04,-0.7728,-0.1238,0.6823,1.038
0.046,-0.7551,-0.0785,0.8316,1.126
0.05,-0.7181,-0.0589,0.998,1.231
0.054,-0.7094,-0.046,1.1197,1.326
0.06,-0.6809,0.0005,1.1775,1.36
0.065,-0.6087,0.1046,1.1717,1.325
0.069,-0.5692,0.1829,1.1405,1.288
0.074,-0.5146,0.2429,1.0527,1.197
0.08,-0.4741,0.2564,0.8914,1.042
0.086,-0.517,0.2742,0.685,0.901
0.097,-0.5481,0.2276,0.5052,0.779
0.097,-0.5223,0.1888,0.385,0.676
0.103,-0.5452,0.1506,0.2622,0.623
0.104,-0.7985,0.0081,0.1389,0.81
0.108,-0.6461,0.0648,-0.0373,0.65
0.113,-0.4639,0.1534,-0.1159,0.502
0.118,-0.2952,0.1616,-0.097,0.35
0.122,-0.1446,0.1444,-0.0957,0.226
0.128,-0.0666,0.0493,-0.0589,0.102
0.132,-0.0414,-0.0353,-0.0393,0.067
0.138,-0.0256,-0.0931,-0.0197,0.099
0.142,0.0025,-0.122,-0.0001,0.122
0.147,0.0097,-0.027,0.0772,0.082
0.152,-0.0331,0.0862,0.1643,0.188
0.156,-0.0968,0.1668,0.1778,0.262
0.161,-0.1499,0.2265,0.1946,0.334
0.166,-0.2256,0.3156,0.174,0.425
0.171,-0.2759,0.3888,0.1735,0.507
0.175,-0.2342,0.4349,0.1616,0.52
0.18,-0.1151,0.4922,0.1742,0.535
0.186,-0.0576,0.523,0.175,0.555
0.19,-0.0116,0.5038,0.1975,0.541
0.195,0.0394,0.4732,0.2389,0.532
0.203,-0.0052,0.4505,0.261,0.521
0.205,-0.0687,0.4382,0.3568,0.569
0.209,-0.1179,0.3908,0.4284,0.592
0.22,-0.1458,0.3753,0.4326,0.591
0.221,-0.1765,0.327,0.4341,0.571
0.225,-0.1406,0.3104,0.4902,0.597
0.23,-0.0503,0.2873,0.491,0.571
0.234,0.0419,0.2314,0.4245,0.485
0.239,0.1648,0.1907,0.3505,0.432
0.243,0.2448,0.1344,0.3385,0.439
0.248,0.3008,0.0769,0.3021,0.433
0.253,0.3256,0.0088,0.3012,0.444
0.258,0.3119,-0.0532,0.479,0.574
0.263,0.2618,-0.1241,0.68,0.739
0.268,0.1663,-0.152,0.7758,0.808
0.272,0.0958,-0.1474,0.7429,0.763
0.277,0.0678,-0.1442,0.7829,0.799
0.282,0.0249,-0.1019,0.7569,0.764
0.287,-0.0146,-0.0257,0.7223,0.723
0.292,-0.092,-0.0179,0.6334,0.64
0.297,-0.1889,-0.0159,0.5377,0.57
0.302,-0.301,-0.0121,0.4635,0.553
0.306,-0.2999,-0.049,0.4011,0.503
0.311,-0.2217,-0.0619,0.3788,0.443
0.317,-0.1981,-0.06,0.375,0.428
0.321,-0.2816,-0.0433,0.3681,0.466
0.326,-0.2711,-0.0693,0.3726,0.466
0.33,-0.3098,-0.1261,0.4244,0.54
0.336,-0.345,-0.1662,0.397,0.552
0.342,-0.2713,-0.1658,0.3384,0.464
0.347,-0.237,-0.1441,0.3299,0.431
0.35,-0.2247,-0.1468,0.4027,0.484
0.355,-0.2081,-0.1766,0.4924,0.563
0.36,-0.1199,-0.1978,0.427,0.486
0.366,-0.1302,-0.1913,0.2903,0.371
0.369,-0.1409,-0.1947,0.1896,0.306
0.374,-0.1021,-0.2556,0.0675,0.283
0.379,-0.0427,-0.2827,-0.0427,0.289
0.384,0.0326,-0.2855,-0.1938,0.347
0.388,0.1142,-0.3093,-0.2733,0.428
0.393,0.1666,-0.3108,-0.3458,0.494
0.403,0.2829,-0.3305,-0.3781,0.576
0.404,0.3674,-0.3445,-0.4347,0.665
0.408,0.4015,-0.3072,-0.4056,0.648
0.414,0.4094,-0.2784,-0.3913,0.631
0.418,0.3886,-0.292,-0.3652,0.608
0.423,0.3757,-0.2956,-0.3247,0.578
0.427,0.4185,-0.3253,-0.3129,0.616
0.433,0.4933,-0.3455,-0.284,0.666
0.437,0.5667,-0.3922,-0.2763,0.743
0.442,0.6247,-0.4108,-0.2035,0.775
0.447,0.6888,-0.4327,-0.1253,0.823
0.452,0.7402,-0.4483,-0.1181,0.873
0.457,0.7192,-0.4194,-0.1651,0.849
0.461,0.6381,-0.3987,-0.2447,0.791
0.468,0.5757,-0.3451,-0.3928,0.778
0.472,0.5102,-0.3182,-0.5641,0.824
0.477,0.4172,-0.2911,-0.7542,0.91
0.483,0.3947,-0.2416,-0.882,0.996
0.487,0.4181,-0.2051,-0.9576,1.065
0.491,0.4992,-0.198,-1.0408,1.171
0.496,1.3311,-0.2457,-1.187,1.8
0.501,1.0204,-0.2064,-1.1907,1.582
0.507,0.8062,-0.1852,-1.0954,1.373
0.51,0.8033,-0.2875,-1.0921,1.386
0.531,0.8753,-0.4588,-0.9558,1.375
0.531,0.8425,-0.6397,-0.6747,1.255
0.532,-0.0552,-0.6187,-0.3823,0.729
0.533,-1.0027,-0.7109,0.1586,1.239
0.566,-1.2051,-0.7963,0.2597,1.468
0.566,-0.7531,-0.6203,0.3742,1.045
0.566,0.2969,-0.272,0.2872,0.495
0.566,0.6019,-0.0469,0.3025,0.675
